"",BBFB1.Q.N.DE.U3.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.U3.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Intra EU Extra Euro Area (EU Member States and institutions not belonging to the Euro area) changing composition,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:00,
1991-01,12147.147,
1991-04,11921.238,
1991-07,11674.735,
1991-10,12379.528,
1992-01,12393.528,
1992-04,12121.663,
1992-07,12734.427,
1992-10,13151.838,
1993-01,11515.792,
1993-04,12454.258,
1993-07,12034.141,
1993-10,12558.035,
1994-01,12454.316,
1994-04,14251.904,
1994-07,13710.529,
1994-10,14656.121,
1995-01,15205.867,
1995-04,16872.470,
1995-07,16631.345,
1995-10,17184.215,
1996-01,16599.422,
1996-04,17045.068,
1996-07,16746.528,
1996-10,18569.814,
1997-01,18131.638,
1997-04,20405.209,
1997-07,20675.792,
1997-10,21768.977,
1998-01,21566.410,
1998-04,23003.254,
1998-07,21984.543,
1998-10,23062.795,
1999-01,21532.140,
1999-04,22482.885,
1999-07,23414.303,
1999-10,24888.969,
2000-01,25197.466,
2000-04,26032.900,
2000-07,26205.764,
2000-10,29900.132,
2001-01,28874.706,
2001-04,29573.115,
2001-07,29634.650,
2001-10,30551.025,
2002-01,29558.569,
2002-04,30797.485,
2002-07,31918.651,
2002-10,32215.753,
2003-01,31842.570,
2003-04,30622.547,
2003-07,31729.117,
2003-10,32168.360,
2004-01,33853.015,
2004-04,35280.638,
2004-07,33753.758,
2004-10,35109.396,
2005-01,33437.867,
2005-04,35694.134,
2005-07,36659.578,
2005-10,35134.102,
2006-01,38866.390,
2006-04,40132.524,
2006-07,41074.382,
2006-10,44600.797,
2007-01,46762.653,
2007-04,47094.251,
2007-07,49403.252,
2007-10,50431.168,
2008-01,51596.169,
2008-04,52373.056,
2008-07,50643.010,
2008-10,44253.621,
2009-01,37633.782,
2009-04,37505.122,
2009-07,39997.199,
2009-10,40679.086,
2010-01,41395.329,
2010-04,44678.775,
2010-07,45926.451,
2010-10,48299.287,
2011-01,51486.004,
2011-04,51272.624,
2011-07,51630.605,
2011-10,50833.255,
2012-01,54098.803,
2012-04,53749.038,
2012-07,53730.306,
2012-10,51664.300,
2013-01,54702.021,
2013-04,54764.980,
2013-07,55200.945,
2013-10,55940.072,
2014-01,60015.262,Provisional value
2014-04,59329.803,Provisional value
2014-07,61679.683,Provisional value
