"",BBK01.OUO007,BBK01.OUO007_FLAGS
"",Other assets / Banks majority-owned by foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:16:06,
1985-12,0.899,
1986-01,0.757,
1986-02,0.780,
1986-03,0.798,
1986-04,0.802,
1986-05,0.858,
1986-06,0.802,
1986-07,0.806,
1986-08,0.850,
1986-09,1.121,
1986-10,0.891,
1986-11,0.917,
1986-12,0.904,
1987-01,0.858,
1987-02,1.011,
1987-03,0.944,
1987-04,0.865,
1987-05,0.863,
1987-06,0.913,
1987-07,0.928,
1987-08,1.039,
1987-09,0.998,
1987-10,1.149,
1987-11,1.086,
1987-12,1.176,
1988-01,1.157,
1988-02,1.054,
1988-03,1.105,
1988-04,1.079,
1988-05,1.151,
1988-06,1.143,
1988-07,1.179,
1988-08,1.199,
1988-09,1.264,
1988-10,1.277,
1988-11,1.209,
1988-12,1.404,
1989-01,1.266,
1989-02,1.322,
1989-03,1.405,
1989-04,1.381,
1989-05,1.443,
1989-06,1.516,
1989-07,1.572,
1989-08,1.486,
1989-09,1.593,
1989-10,1.663,
1989-11,1.780,
1989-12,1.898,
1990-01,1.993,
1990-02,1.855,
1990-03,1.846,
1990-04,1.876,
1990-05,1.951,
1990-06,2.106,
1990-07,2.038,
1990-08,2.073,
1990-09,2.047,
1990-10,2.100,
1990-11,2.178,
1990-12,2.303,
1991-01,2.127,
1991-02,2.157,
1991-03,2.240,
1991-04,2.326,
1991-05,2.171,
1991-06,2.252,
1991-07,2.212,
1991-08,2.294,
1991-09,2.123,
1991-10,2.141,
1991-11,2.127,
1991-12,2.301,
1992-01,2.295,
1992-02,2.324,
1992-03,2.400,
1992-04,2.574,
1992-05,2.528,
1992-06,2.427,
1992-07,2.557,
1992-08,2.553,
1992-09,3.255,
1992-10,2.882,
1992-11,2.938,
1992-12,3.592,
1993-01,3.699,
1993-02,4.115,
1993-03,4.910,
1993-04,4.469,
1993-05,4.847,
1993-06,4.540,
1993-07,4.915,
1993-08,4.920,
1993-09,4.821,
1993-10,4.923,
1993-11,5.162,
1993-12,6.135,
1994-01,6.127,
1994-02,5.772,
1994-03,6.302,
1994-04,4.865,
1994-05,4.886,
1994-06,4.700,
1994-07,4.933,
1994-08,4.907,
1994-09,4.723,
1994-10,4.923,
1994-11,5.186,
1994-12,4.406,
1995-01,3.998,
1995-02,6.757,
1995-03,7.058,
1995-04,7.055,
1995-05,7.582,
