"",BBK01.CELZ03,BBK01.CELZ03_FLAGS
"",Other accounts receivable excluding trade credits and advances                                                debtor: Total            creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:29,
1999-01,8.5,
1999-04,4.9,
1999-07,-2.0,
1999-10,11.4,
2000-01,8.1,
2000-04,5.3,
2000-07,21.4,
2000-10,5.9,
2001-01,12.1,
2001-04,-4.6,
2001-07,-10.5,
2001-10,-4.0,
2002-01,6.6,
2002-04,-3.1,
2002-07,0.3,
2002-10,5.6,
2003-01,-1.0,
2003-04,-17.4,
2003-07,4.2,
2003-10,7.5,
2004-01,-6.2,
2004-04,-0.2,
2004-07,0.1,
2004-10,6.0,
2005-01,-13.0,
2005-04,5.7,
2005-07,1.7,
2005-10,1.2,
2006-01,-3.6,
2006-04,6.5,
2006-07,8.9,
2006-10,19.6,
2007-01,-1.0,
2007-04,17.4,
2007-07,16.1,
2007-10,2.9,
2008-01,6.0,
2008-04,12.7,
2008-07,8.2,
2008-10,29.2,
2009-01,17.3,
2009-04,-75.0,
2009-07,14.6,
2009-10,-8.1,
2010-01,-3.5,
2010-04,29.8,
2010-07,-11.3,
2010-10,-13.2,
2011-01,-19.0,
2011-04,3.3,
2011-07,-10.9,
2011-10,16.6,
2012-01,-7.8,
2012-04,28.7,
2012-07,-9.1,
2012-10,-0.8,
2013-01,7.8,
2013-04,-19.3,
2013-07,-27.6,
2013-10,13.2,
2014-01,-11.4,
2014-04,-0.4,
2014-07,10.4,
