"",BBFB1.Q.N.DE.CH.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.CH.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Switzerland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:43,
1991-01,3182.805,
1991-04,1047.954,
1991-07,900.183,
1991-10,1229.511,
1992-01,1863.352,
1992-04,-253.777,
1992-07,1874.189,
1992-10,2332.018,
1993-01,1922.793,
1993-04,-473.975,
1993-07,725.094,
1993-10,1057.742,
1994-01,878.855,
1994-04,2145.508,
1994-07,2082.594,
1994-10,3117.162,
1995-01,102.958,
1995-04,2012.531,
1995-07,2770.759,
1995-10,813.919,
1996-01,453.550,
1996-04,740.294,
1996-07,2495.053,
1996-10,2298.523,
1997-01,-1308.431,
1997-04,1560.217,
1997-07,1909.238,
1997-10,1389.634,
1998-01,3466.877,
1998-04,3755.924,
1998-07,1953.697,
1998-10,-261.775,
1999-01,873.290,
1999-04,-316.026,
1999-07,2376.674,
1999-10,-1278.117,
2000-01,-4366.186,
2000-04,3763.777,
2000-07,1018.991,
2000-10,2448.652,
2001-01,-683.370,
2001-04,795.810,
2001-07,454.999,
2001-10,5674.310,
2002-01,-2408.873,
2002-04,1795.164,
2002-07,2935.674,
2002-10,2921.823,
2003-01,1278.258,
2003-04,1334.228,
2003-07,1675.331,
2003-10,11308.982,
2004-01,13443.818,
2004-04,440.704,
2004-07,3572.674,
2004-10,-578.379,
2005-01,521.250,
2005-04,-109.763,
2005-07,1530.753,
2005-10,-358.670,
2006-01,4784.620,
2006-04,4568.167,
2006-07,2550.304,
2006-10,4817.587,
2007-01,7328.700,
2007-04,10803.248,
2007-07,4084.986,
2007-10,643.098,
2008-01,1298.897,
2008-04,2353.247,
2008-07,-495.916,
2008-10,984.342,
2009-01,2170.216,
2009-04,6435.091,
2009-07,1801.189,
2009-10,-367.154,
2010-01,3041.209,
2010-04,8486.176,
2010-07,-1122.097,
2010-10,-410.013,
2011-01,-496.940,
2011-04,-7030.528,
2011-07,-893.276,
2011-10,-1999.455,
2012-01,-1364.199,
2012-04,2624.763,
2012-07,-664.105,
2012-10,448.544,
2013-01,654.316,
2013-04,-918.690,
2013-07,2581.198,
2013-10,743.822,
2014-01,1346.195,Provisional value
2014-04,2542.222,Provisional value
2014-07,1280.946,Provisional value
2014-10,800.759,Provisional value
