"",BBK01.CEFI09,BBK01.CEFI09_FLAGS
"",Listed shares               debtor: Total                              creditor: Non-MMF investment funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:21,
1999-01,237.5,
1999-04,264.8,
1999-07,261.0,
1999-10,357.1,
2000-01,389.8,
2000-04,385.5,
2000-07,408.6,
2000-10,380.1,
2001-01,338.1,
2001-04,351.4,
2001-07,264.3,
2001-10,317.0,
2002-01,324.7,
2002-04,268.3,
2002-07,205.9,
2002-10,205.5,
2003-01,174.8,
2003-04,202.7,
2003-07,208.4,
2003-10,236.1,
2004-01,243.6,
2004-04,243.4,
2004-07,233.7,
2004-10,246.7,
2005-01,255.4,
2005-04,269.2,
2005-07,290.3,
2005-10,308.3,
2006-01,338.3,
2006-04,308.1,
2006-07,323.6,
2006-10,343.9,
2007-01,345.4,
2007-04,363.9,
2007-07,346.4,
2007-10,327.6,
2008-01,269.3,
2008-04,262.5,
2008-07,228.2,
2008-10,168.0,
2009-01,151.7,
2009-04,177.2,
2009-07,185.5,
2009-10,194.1,
2010-01,205.8,
2010-04,192.4,
2010-07,201.9,
2010-10,227.2,
2011-01,225.7,
2011-04,224.6,
2011-07,182.3,
2011-10,196.2,
2012-01,213.9,
2012-04,201.3,
2012-07,217.7,
2012-10,227.8,
2013-01,245.4,
2013-04,243.0,
2013-07,264.3,
2013-10,282.4,
2014-01,284.4,
2014-04,296.2,
2014-07,295.8,
