"",BBFB1.Q.N.DE.S1.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.S1.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Asia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:50,
1991-01,-844.456,
1991-04,-212.320,
1991-07,63.465,
1991-10,-951.270,
1992-01,-260.928,
1992-04,554.374,
1992-07,-1203.949,
1992-10,-737.244,
1993-01,1491.357,
1993-04,-593.522,
1993-07,-1167.042,
1993-10,-327.381,
1994-01,677.498,
1994-04,-389.172,
1994-07,2671.868,
1994-10,447.996,
1995-01,2813.298,
1995-04,1767.398,
1995-07,4516.431,
1995-10,-715.030,
1996-01,4628.722,
1996-04,1450.065,
1996-07,-361.871,
1996-10,-1326.872,
1997-01,2690.476,
1997-04,3253.251,
1997-07,-4420.662,
1997-10,2758.509,
1998-01,2277.477,
1998-04,1729.757,
1998-07,1630.140,
1998-10,10079.624,
1999-01,-10851.762,
1999-04,7275.913,
1999-07,3456.537,
1999-10,12581.259,
2000-01,1295.075,
2000-04,5019.194,
2000-07,2031.897,
2000-10,-2923.601,
2001-01,8324.276,
2001-04,2851.817,
2001-07,-3360.845,
2001-10,-5802.195,
2002-01,3649.062,
2002-04,-2941.614,
2002-07,-2229.052,
2002-10,-6826.129,
2003-01,163.676,
2003-04,-217.981,
2003-07,-7516.605,
2003-10,-451.795,
2004-01,552.079,
2004-04,-4210.039,
2004-07,3445.154,
2004-10,2636.184,
2005-01,-1863.112,
2005-04,1095.924,
2005-07,6490.129,
2005-10,-968.744,
2006-01,361.046,
2006-04,-587.463,
2006-07,2707.246,
2006-10,7183.164,
2007-01,3537.177,
2007-04,5747.158,
2007-07,3356.008,
2007-10,17101.594,
2008-01,2353.432,
2008-04,8666.222,
2008-07,4684.704,
2008-10,-25199.620,
2009-01,10434.701,
2009-04,-16091.886,
2009-07,2443.249,
2009-10,752.864,
2010-01,-2413.964,
2010-04,6358.750,
2010-07,-3825.818,
2010-10,1980.780,
2011-01,-4935.542,
2011-04,-6724.032,
2011-07,4715.803,
2011-10,17166.412,
2012-01,9845.436,
2012-04,13949.034,
2012-07,4642.508,
2012-10,-22807.290,
2013-01,-3891.795,
2013-04,-5977.797,
2013-07,-6771.986,
2013-10,291.068,
2014-01,616.833,Provisional value
2014-04,8785.874,Provisional value
2014-07,2679.929,Provisional value
2014-10,-5218.537,Provisional value
