"",BBK01.OEAF15L,BBK01.OEAF15L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:17,
2002-01,4.819,
2002-04,4.673,
2002-07,4.857,
2002-10,4.541,
2003-01,4.474,
2003-04,4.775,
2003-07,4.805,
2003-10,4.821,
2004-01,4.853,
2004-04,5.175,
2004-07,5.224,
2004-10,5.041,
2005-01,4.649,
2005-04,4.824,
2005-07,4.732,
2005-10,4.371,
2006-01,4.335,
2006-04,4.514,
2006-07,4.664,
2006-10,4.521,
2007-01,4.288,
2007-04,5.151,
2007-07,4.576,
2007-10,4.696,
2008-01,4.483,
2008-04,4.567,
2008-07,4.927,
2008-10,4.839,
2009-01,4.567,
2009-04,4.528,
2009-07,5.053,
2009-10,5.196,
2010-01,4.844,
2010-04,4.846,
2010-07,4.991,
2010-10,5.139,
2011-01,4.775,
2011-04,4.895,
2011-07,4.938,
2011-10,4.958,
2012-01,4.762,
2012-04,4.705,
2012-07,4.921,
2012-10,4.932,
2013-01,4.845,
2013-04,4.926,
2013-07,4.979,
2013-10,4.927,
2014-01,4.963,
2014-04,5.055,
2014-07,5.047,
