"",BBK01.OEBB20V,BBK01.OEBB20V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:17,
2002-01,4.087,
2002-04,4.181,
2002-07,4.208,
2002-10,4.245,
2003-01,4.298,
2003-04,4.206,
2003-07,4.238,
2003-10,4.227,
2004-01,4.125,
2004-04,4.187,
2004-07,4.221,
2004-10,4.127,
2005-01,4.952,
2005-04,4.961,
2005-07,5.112,
2005-10,5.156,
2006-01,5.216,
2006-04,5.294,
2006-07,5.411,
2006-10,5.603,
2007-01,5.646,
2007-04,5.787,
2007-07,5.844,
2007-10,5.965,
2008-01,5.787,
2008-04,5.835,
2008-07,5.880,
2008-10,5.996,
2009-01,6.035,
2009-04,7.064,
2009-07,6.975,
2009-10,6.931,
2010-01,6.901,
2010-04,6.843,
2010-07,6.499,
2010-10,6.441,
2011-01,6.545,
2011-04,6.531,
2011-07,6.579,
2011-10,6.561,
2012-01,6.575,
2012-04,6.593,
2012-07,6.576,
2012-10,6.583,
2013-01,6.644,
2013-04,6.693,
2013-07,6.747,
2013-10,6.870,
2014-01,6.924,
2014-04,7.281,
2014-07,7.312,
