"",BBK01.OEAA11P,BBK01.OEAA11P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:51,
2002-01,3.470,
2002-04,3.546,
2002-07,3.505,
2002-10,2.843,
2003-01,2.990,
2003-04,2.937,
2003-07,2.689,
2003-10,2.550,
2004-01,2.417,
2004-04,2.332,
2004-07,2.436,
2004-10,2.348,
2005-01,2.370,
2005-04,2.463,
2005-07,2.514,
2005-10,2.438,
2006-01,2.505,
2006-04,2.629,
2006-07,2.412,
2006-10,2.484,
2007-01,2.345,
2007-04,2.305,
2007-07,2.305,
2007-10,2.314,
2008-01,2.333,
2008-04,2.454,
2008-07,2.360,
2008-10,2.330,
2009-01,2.354,
2009-04,2.305,
2009-07,2.254,
2009-10,2.387,
2010-01,2.465,
2010-04,2.347,
2010-07,2.212,
2010-10,2.470,
2011-01,2.612,
2011-04,2.697,
2011-07,2.343,
2011-10,2.538,
2012-01,2.632,
2012-04,2.326,
2012-07,2.305,
2012-10,2.336,
2013-01,2.335,
2013-04,2.507,
2013-07,2.641,
2013-10,2.479,
2014-01,2.517,
2014-04,2.610,
2014-07,2.558,
