"",BBDA1.M.DE.Y.EX.S.A.G4.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.A.G4.A.V.ABA.A_FLAGS
"","Germany / Exports / At current prices, flows / Aggregate / all goods / Other European countries (not EU ) / At current prices, flows / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:22,
1993-01,2.67,
1993-02,2.57,
1993-03,2.50,
1993-04,2.59,
1993-05,2.55,
1993-06,2.52,
1993-07,2.47,
1993-08,2.71,
1993-09,2.60,
1993-10,2.72,
1993-11,2.64,
1993-12,3.06,
1994-01,2.80,
1994-02,2.68,
1994-03,2.51,
1994-04,2.76,
1994-05,2.74,
1994-06,2.79,
1994-07,2.50,
1994-08,2.94,
1994-09,2.52,
1994-10,2.76,
1994-11,2.76,
1994-12,2.79,
1995-01,2.81,
1995-02,2.96,
1995-03,2.88,
1995-04,3.32,
1995-05,2.87,
1995-06,2.83,
1995-07,2.89,
1995-08,3.00,
1995-09,3.00,
1995-10,2.90,
1995-11,3.03,
1995-12,3.20,
1996-01,2.96,
1996-02,3.11,
1996-03,3.09,
1996-04,3.07,
1996-05,3.18,
1996-06,3.05,
1996-07,3.25,
1996-08,3.01,
1996-09,3.08,
1996-10,3.20,
1996-11,3.31,
1996-12,3.00,
1997-01,3.33,
1997-02,3.39,
1997-03,3.48,
1997-04,3.54,
1997-05,3.43,
1997-06,3.62,
1997-07,3.67,
1997-08,3.70,
1997-09,3.97,
1997-10,3.90,
1997-11,3.78,
1997-12,3.89,
1998-01,4.00,
1998-02,3.90,
1998-03,4.06,
1998-04,4.02,
1998-05,4.05,
1998-06,3.68,
1998-07,3.90,
1998-08,3.79,
1998-09,3.29,
1998-10,3.15,
1998-11,3.58,
1998-12,3.28,
1999-01,3.19,
1999-02,3.49,
1999-03,3.37,
1999-04,3.35,
1999-05,3.10,
1999-06,3.32,
1999-07,3.66,
1999-08,3.09,
1999-09,3.37,
1999-10,3.47,
1999-11,3.61,
1999-12,3.62,
2000-01,3.53,
2000-02,3.84,
2000-03,3.89,
2000-04,3.87,
2000-05,3.95,
2000-06,4.07,
2000-07,4.19,
2000-08,4.28,
2000-09,4.22,
2000-10,4.63,
2000-11,4.36,
2000-12,4.31,
2001-01,4.25,
2001-02,4.60,
2001-03,4.48,
2001-04,4.35,
2001-05,4.49,
2001-06,4.71,
2001-07,4.53,
2001-08,4.82,
2001-09,4.26,
2001-10,4.59,
2001-11,4.41,
2001-12,4.71,
2002-01,4.28,
2002-02,5.16,
2002-03,4.78,
2002-04,4.72,
2002-05,4.50,
2002-06,4.73,
2002-07,4.35,
2002-08,4.82,
2002-09,4.89,
2002-10,4.84,
2002-11,4.92,
2002-12,4.68,
2003-01,5.01,
2003-02,4.85,
2003-03,4.29,
2003-04,4.78,
2003-05,4.81,
2003-06,4.99,
2003-07,4.88,
2003-08,4.96,
2003-09,4.97,
2003-10,4.48,
2003-11,4.87,
2003-12,4.96,
2004-01,5.57,
2004-02,5.26,
2004-03,5.36,
2004-04,5.92,
2004-05,5.82,
2004-06,5.57,
2004-07,5.75,
2004-08,5.24,
2004-09,5.37,
2004-10,5.46,
2004-11,5.38,
2004-12,5.98,
2005-01,6.30,
2005-02,5.64,
2005-03,5.85,
2005-04,5.64,
2005-05,6.11,
2005-06,6.03,
2005-07,6.19,
2005-08,6.29,
2005-09,6.46,
2005-10,6.30,
2005-11,5.92,
2005-12,6.61,
2006-01,6.77,
2006-02,7.03,
2006-03,6.36,
2006-04,7.21,
2006-05,6.75,
2006-06,6.70,
2006-07,7.47,
2006-08,7.12,
2006-09,8.40,
2006-10,8.77,
2006-11,8.83,
2006-12,8.35,
2007-01,8.02,
2007-02,7.77,
2007-03,7.72,
2007-04,8.24,
2007-05,8.29,
2007-06,8.22,
2007-07,8.31,
2007-08,8.79,
2007-09,8.43,
2007-10,8.69,
2007-11,8.87,
2007-12,9.00,
2008-01,9.30,
2008-02,9.13,
2008-03,9.18,
2008-04,9.11,
2008-05,8.86,
2008-06,9.13,
2008-07,9.07,
2008-08,9.02,
2008-09,9.15,
2008-10,9.28,
2008-11,7.93,
2008-12,8.14,
2009-01,7.08,
2009-02,7.10,
2009-03,6.93,
2009-04,6.34,
2009-05,6.41,
2009-06,6.57,
2009-07,7.35,
2009-08,6.88,
2009-09,6.57,
2009-10,6.70,
2009-11,7.57,
2009-12,7.26,
2010-01,7.12,
2010-02,7.41,
2010-03,8.10,
2010-04,8.28,
2010-05,8.11,
2010-06,8.53,
2010-07,8.60,
2010-08,8.67,
2010-09,8.93,
2010-10,9.22,
2010-11,9.23,
2010-12,9.01,
2011-01,9.33,
2011-02,9.58,
2011-03,10.57,
2011-04,9.89,
2011-05,10.23,
2011-06,9.94,
2011-07,10.19,
2011-08,10.73,
2011-09,10.74,
2011-10,10.16,
2011-11,10.10,
2011-12,10.15,
2012-01,10.16,
2012-02,10.32,
2012-03,10.83,
2012-04,10.60,
2012-05,11.07,
2012-06,11.02,
2012-07,10.99,
2012-08,10.93,
2012-09,10.75,
2012-10,10.71,
2012-11,10.71,
2012-12,10.50,
2013-01,10.82,
2013-02,10.72,
2013-03,10.80,
2013-04,10.91,
2013-05,10.77,
2013-06,10.57,
2013-07,10.43,
2013-08,10.06,
2013-09,10.08,
2013-10,10.12,
2013-11,10.14,
2013-12,9.80,
2014-01,9.95,
2014-02,9.64,
2014-03,9.88,
2014-04,9.59,
2014-05,9.52,
2014-06,9.54,
2014-07,9.57,
2014-08,9.04,
2014-09,9.41,
2014-10,9.52,
2014-11,9.15,
2014-12,9.45,
