"",BBK01.OELJ05Q,BBK01.OELJ05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:47,
2002-01,0.572,
2002-04,0.565,
2002-07,0.569,
2002-10,0.581,
2003-01,0.572,
2003-04,0.126,
2003-07,0.656,
2003-10,0.712,
2004-01,0.698,
2004-04,0.693,
2004-07,0.685,
2004-10,0.666,
2005-01,0.607,
2005-04,0.570,
2005-07,0.532,
2005-10,0.663,
2006-01,0.662,
2006-04,0.743,
2006-07,0.766,
2006-10,0.808,
2007-01,0.864,
2007-04,0.932,
2007-07,0.939,
2007-10,0.870,
2008-01,0.864,
2008-04,0.852,
2008-07,0.852,
2008-10,0.831,
2009-01,0.815,
2009-04,0.803,
2009-07,0.763,
2009-10,0.762,
2010-01,0.763,
2010-04,0.798,
2010-07,0.802,
2010-10,0.860,
2011-01,0.813,
2011-04,0.828,
2011-07,0.789,
2011-10,0.776,
2012-01,0.771,
2012-04,0.771,
2012-07,0.769,
2012-10,0.758,
2013-01,0.745,
2013-04,0.740,
2013-07,0.745,
2013-10,0.739,
2014-01,0.835,
2014-04,0.825,
2014-07,0.812,
