"",BBK01.OEAO04O,BBK01.OEAO04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:29,
2002-01,-0.691,
2002-04,-0.622,
2002-07,-0.325,
2002-10,-0.315,
2003-01,-0.493,
2003-04,-0.117,
2003-07,-0.318,
2003-10,-0.283,
2004-01,-0.534,
2004-04,-0.511,
2004-07,-0.161,
2004-10,-0.133,
2005-01,0.357,
2005-04,-0.381,
2005-07,-0.441,
2005-10,-0.282,
2006-01,-0.431,
2006-04,-0.328,
2006-07,-0.623,
2006-10,-0.763,
2007-01,-1.042,
2007-04,-0.932,
2007-07,-0.934,
2007-10,-0.856,
2008-01,-0.840,
2008-04,-0.806,
2008-07,-1.117,
2008-10,-0.455,
2009-01,0.432,
2009-04,1.098,
2009-07,1.144,
2009-10,0.727,
2010-01,0.673,
2010-04,0.125,
2010-07,0.118,
2010-10,0.035,
2011-01,-0.004,
2011-04,-0.219,
2011-07,-0.334,
2011-10,-0.285,
2012-01,-0.101,
2012-04,-0.343,
2012-07,-0.365,
2012-10,-0.406,
2013-01,-0.352,
2013-04,-0.303,
2013-07,-0.301,
2013-10,-0.074,
2014-01,-0.287,
2014-04,-0.284,
2014-07,-0.118,
