"",BBFN1.M.DE.N.1.A.U2.S1P.F0.L.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.U2.S1P.F0.L.N000.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on foreign non-banks arising from financial operations / Total / Euro-area member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:33,
1995-01,3.904,
1995-02,3.819,
1995-03,3.941,
1995-04,3.891,
1995-05,3.920,
1995-06,3.835,
1995-07,3.832,
1995-08,3.975,
1995-09,3.982,
1995-10,3.977,
1995-11,3.932,
1995-12,3.756,
1996-01,3.731,
1996-02,3.874,
1996-03,3.806,
1996-04,3.828,
1996-05,3.868,
1996-06,3.754,
1996-07,3.750,
1996-08,3.731,
1996-09,3.679,
1996-10,3.706,
1996-11,3.700,
1996-12,3.538,
1997-01,3.608,
1997-02,3.631,
1997-03,3.996,
1997-04,4.007,
1997-05,4.099,
1997-06,4.033,
1997-07,3.876,
1997-08,3.689,
1997-09,3.615,
1997-10,3.532,
1997-11,3.670,
1997-12,3.823,
1998-01,3.925,
1998-02,3.940,
1998-03,4.203,
1998-04,4.290,
1998-05,4.337,
1998-06,4.355,
1998-07,4.440,
1998-08,4.684,
1998-09,4.708,
1998-10,4.737,
1998-11,5.347,
1998-12,5.349,
1999-01,5.679,
1999-02,5.692,
1999-03,5.539,
1999-04,5.798,
1999-05,5.970,
1999-06,6.044,
1999-07,6.298,
1999-08,6.465,
1999-09,6.747,
1999-10,6.923,
1999-11,6.844,
1999-12,7.066,
2000-01,7.305,
2000-02,7.226,
2000-03,6.570,
2000-04,6.458,
2000-05,6.345,
2000-06,6.642,
2000-07,6.811,
2000-08,7.179,
2000-09,7.153,
2000-10,7.421,
2000-11,7.851,
2000-12,8.696,
2001-01,9.022,
2001-02,8.933,
2001-03,9.128,
2001-04,9.035,
2001-05,9.298,
2001-06,9.501,
2001-07,9.543,
2001-08,10.039,
2001-09,9.571,
2001-10,9.957,
2001-11,10.132,
2001-12,10.176,
2002-01,10.431,
2002-02,10.646,
2002-03,10.833,
2002-04,11.224,
2002-05,11.084,
2002-06,11.059,
2002-07,12.344,
2002-08,12.442,
2002-09,12.347,
2002-10,12.447,
2002-11,13.019,
2002-12,12.627,
2003-01,14.430,
2003-02,14.506,
2003-03,14.320,
2003-04,14.359,
2003-05,14.470,
2003-06,14.284,
2003-07,14.159,
2003-08,13.729,
2003-09,13.749,
2003-10,14.047,
2003-11,14.013,
2003-12,13.449,
2004-01,13.764,
2004-02,12.483,
2004-03,12.532,
2004-04,12.580,
2004-05,12.747,
2004-06,13.095,
2004-07,13.673,
2004-08,13.787,
2004-09,14.539,
2004-10,14.597,
2004-11,15.014,
2004-12,14.409,
2005-01,16.314,
2005-02,16.326,
2005-03,16.784,
2005-04,16.718,
2005-05,15.113,
2005-06,16.026,
2005-07,16.111,
2005-08,16.275,
2005-09,16.504,
2005-10,16.433,
2005-11,16.152,
2005-12,18.092,
2006-01,18.517,
2006-02,18.807,
2006-03,19.058,
2006-04,19.164,
2006-05,19.462,
2006-06,19.390,
2006-07,19.549,
2006-08,19.786,
2006-09,20.179,
2006-10,20.893,
2006-11,21.048,
2006-12,21.420,
2007-01,22.004,
2007-02,20.789,
2007-03,21.563,
2007-04,22.190,
2007-05,25.219,
2007-06,26.024,
2007-07,26.089,
2007-08,26.338,
2007-09,26.506,
2007-10,26.574,
2007-11,25.760,
2007-12,22.741,
2008-01,26.188,
2008-02,27.037,
2008-03,27.732,
2008-04,28.262,
2008-05,28.634,
2008-06,28.330,
2008-07,28.352,
2008-08,29.089,
2008-09,30.053,
2008-10,31.013,
2008-11,31.780,
2008-12,28.244,
2009-01,28.946,
2009-02,29.566,
2009-03,30.454,
2009-04,30.265,
2009-05,30.541,
2009-06,31.017,
2009-07,31.277,
2009-08,33.023,
2009-09,34.336,
2009-10,35.158,
2009-11,37.272,
2009-12,41.207,
2010-01,41.261,
2010-02,41.935,
2010-03,42.509,
2010-04,42.600,
2010-05,44.096,
2010-06,44.569,
2010-07,45.145,
2010-08,45.401,
2010-09,45.863,
2010-10,45.619,
2010-11,45.931,
2010-12,47.050,
2011-01,47.641,
2011-02,47.267,
2011-03,47.942,
2011-04,47.728,
2011-05,47.937,
2011-06,47.693,
2011-07,47.089,
2011-08,47.335,
2011-09,46.880,
2011-10,46.515,
2011-11,46.538,
2011-12,49.134,
2012-01,49.396,
2012-02,49.977,
2012-03,51.620,
2012-04,52.338,
2012-05,52.221,
2012-06,52.578,
2012-07,54.076,
2012-08,55.049,
2012-09,54.185,
2012-10,52.831,
2012-11,55.948,
2012-12,60.666,
2013-01,63.662,
2013-02,64.134,
2013-03,65.126,
2013-04,66.612,
2013-05,69.396,
2013-06,70.556,
2013-07,69.748,
2013-08,70.810,
2013-09,72.632,
2013-10,71.205,
2013-11,74.919,
2013-12,74.628,
2014-01,74.287,
2014-02,75.145,
2014-03,77.492,
2014-04,77.279,
2014-05,77.438,
2014-06,77.157,
2014-07,78.784,
2014-08,79.623,
2014-09,79.842,
2014-10,78.666,
2014-11,79.132,
2014-12,80.718,
"","General: From January 2001, including Greece; from January 2007, including Slovenia; from January 2008, including Cyprus and Malta; from January 2009, including Slovakia; from January 2011, including Estonia.",
