"",BBK01.OEHB07P,BBK01.OEHB07P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:34,
2002-01,0.485,
2002-04,0.482,
2002-07,0.495,
2002-10,0.498,
2003-01,0.491,
2003-04,0.496,
2003-07,0.495,
2003-10,0.475,
2004-01,0.472,
2004-04,0.474,
2004-07,0.462,
2004-10,0.450,
2005-01,0.445,
2005-04,0.458,
2005-07,0.471,
2005-10,0.466,
2006-01,0.472,
2006-04,0.493,
2006-07,0.473,
2006-10,0.490,
2007-01,0.487,
2007-04,0.477,
2007-07,0.492,
2007-10,0.511,
2008-01,0.526,
2008-04,0.533,
2008-07,0.519,
2008-10,0.506,
2009-01,0.520,
2009-04,0.535,
2009-07,0.533,
2009-10,0.558,
2010-01,0.547,
2010-04,0.666,
2010-07,0.708,
2010-10,0.736,
2011-01,0.781,
2011-04,0.834,
2011-07,1.015,
2011-10,1.066,
2012-01,1.088,
2012-04,1.100,
2012-07,1.145,
2012-10,1.141,
2013-01,1.167,
2013-04,1.067,
2013-07,0.985,
2013-10,0.998,
2014-01,0.987,
2014-04,0.964,
2014-07,0.968,
