"",BBK01.OEAF09H,BBK01.OEAF09H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:57,
2002-01,0.544,
2002-04,0.530,
2002-07,0.518,
2002-10,0.525,
2003-01,0.542,
2003-04,0.536,
2003-07,0.496,
2003-10,0.487,
2004-01,0.470,
2004-04,0.457,
2004-07,0.449,
2004-10,0.413,
2005-01,0.407,
2005-04,0.400,
2005-07,0.376,
2005-10,0.344,
2006-01,0.348,
2006-04,0.345,
2006-07,0.362,
2006-10,0.359,
2007-01,0.428,
2007-04,0.418,
2007-07,0.404,
2007-10,0.364,
2008-01,0.399,
2008-04,0.409,
2008-07,0.400,
2008-10,0.399,
2009-01,0.391,
2009-04,0.373,
2009-07,0.372,
2009-10,0.368,
2010-01,0.374,
2010-04,0.388,
2010-07,0.397,
2010-10,0.391,
2011-01,0.410,
2011-04,0.401,
2011-07,0.410,
2011-10,0.407,
2012-01,0.424,
2012-04,0.426,
2012-07,0.420,
2012-10,0.414,
2013-01,0.431,
2013-04,0.432,
2013-07,0.427,
2013-10,0.424,
2014-01,0.408,
2014-04,0.410,
2014-07,0.470,
