"",BBK01.OEAF31M,BBK01.OEAF31M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:35,
2002-01,78.100,
2002-04,78.783,
2002-07,80.573,
2002-10,81.413,
2003-01,83.234,
2003-04,84.435,
2003-07,86.028,
2003-10,86.050,
2004-01,86.573,
2004-04,86.769,
2004-07,85.894,
2004-10,87.240,
2005-01,90.904,
2005-04,93.083,
2005-07,94.656,
2005-10,95.601,
2006-01,95.871,
2006-04,97.650,
2006-07,97.861,
2006-10,98.114,
2007-01,100.619,
2007-04,98.318,
2007-07,98.433,
2007-10,98.151,
2008-01,97.704,
2008-04,97.996,
2008-07,97.522,
2008-10,97.265,
2009-01,97.023,
2009-04,97.967,
2009-07,98.242,
2009-10,97.514,
2010-01,96.938,
2010-04,97.152,
2010-07,97.288,
2010-10,97.054,
2011-01,96.858,
2011-04,96.803,
2011-07,96.673,
2011-10,96.489,
2012-01,96.080,
2012-04,96.321,
2012-07,96.403,
2012-10,96.286,
2013-01,95.970,
2013-04,96.033,
2013-07,96.422,
2013-10,96.394,
2014-01,96.175,
2014-04,96.535,
2014-07,96.776,
