"",BBK01.OEAE12V,BBK01.OEAE12V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:37,
2002-01,0.205,
2002-04,0.208,
2002-07,0.089,
2002-10,0.258,
2003-01,0.244,
2003-04,0.185,
2003-07,0.139,
2003-10,0.143,
2004-01,0.143,
2004-04,0.123,
2004-07,0.142,
2004-10,0.138,
2005-01,0.142,
2005-04,0.119,
2005-07,0.208,
2005-10,0.183,
2006-01,0.154,
2006-04,0.136,
2006-07,0.121,
2006-10,0.144,
2007-01,0.124,
2007-04,0.150,
2007-07,0.155,
2007-10,0.149,
2008-01,0.149,
2008-04,0.132,
2008-07,0.144,
2008-10,0.148,
2009-01,0.139,
2009-04,0.109,
2009-07,0.091,
2009-10,0.093,
2010-01,0.120,
2010-04,0.108,
2010-07,0.045,
2010-10,0.034,
2011-01,0.055,
2011-04,0.051,
2011-07,0.040,
2011-10,0.044,
2012-01,0.042,
2012-04,0.033,
2012-07,0.042,
2012-10,0.040,
2013-01,0.037,
2013-04,0.046,
2013-07,0.047,
2013-10,0.041,
2014-01,0.046,
2014-04,0.052,
2014-07,0.057,
