"",BBK01.OEHM02O,BBK01.OEHM02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:32,
2002-01,0.299,
2002-04,0.312,
2002-07,0.270,
2002-10,0.425,
2003-01,0.279,
2003-04,0.329,
2003-07,0.274,
2003-10,0.413,
2004-01,0.278,
2004-04,0.280,
2004-07,0.274,
2004-10,0.446,
2005-01,0.270,
2005-04,0.334,
2005-07,0.378,
2005-10,0.548,
2006-01,0.350,
2006-04,0.407,
2006-07,0.412,
2006-10,0.549,
2007-01,0.401,
2007-04,0.430,
2007-07,0.386,
2007-10,0.575,
2008-01,0.378,
2008-04,0.427,
2008-07,0.458,
2008-10,0.501,
2009-01,0.458,
2009-04,0.501,
2009-07,0.532,
2009-10,0.746,
2010-01,0.627,
2010-04,0.693,
2010-07,0.600,
2010-10,0.757,
2011-01,0.563,
2011-04,0.623,
2011-07,0.610,
2011-10,0.671,
2012-01,0.626,
2012-04,0.708,
2012-07,0.747,
2012-10,0.953,
2013-01,0.798,
2013-04,0.800,
2013-07,0.767,
2013-10,0.880,
2014-01,0.704,
2014-04,0.743,
2014-07,0.745,
