"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.GR.00000.F05100.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.GR.00000.F05100.Z01.00_FLAGS
"",Funds total / Funds total / Shares / Greece,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:22,
2009-09,744,
2009-10,751,
2009-11,608,
2009-12,551,
2010-01,515,
2010-02,491,
2010-03,513,
2010-04,356,
2010-05,290,
2010-06,258,
2010-07,285,
2010-08,262,
2010-09,249,
2010-10,270,
2010-11,246,
2010-12,244,
2011-01,274,
2011-02,281,
2011-03,311,
2011-04,288,
2011-05,241,
2011-06,227,
2011-07,217,
2011-08,158,
2011-09,124,
2011-10,133,
2011-11,106,
2011-12,100,
2012-01,113,
2012-02,95,
2012-03,85,
2012-04,81,
2012-05,47,
2012-06,50,
2012-07,39,
2012-08,39,
2012-09,39,
2012-10,57,
2012-11,61,
2012-12,66,
2013-01,84,
2013-02,98,
2013-03,88,
2013-04,99,
2013-05,100,
2013-06,92,
2013-07,102,
2013-08,99,
2013-09,112,
2013-10,130,
2013-11,137,
2013-12,136,
2014-01,144,
2014-02,172,
2014-03,175,
2014-04,177,
2014-05,235,
2014-06,237,
2014-07,199,
2014-08,206,
2014-09,195,
2014-10,161,
2014-11,164,
