"",BBFB1.Q.N.DE.A7.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A7.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / South American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:09,
1991-01,579.525,
1991-04,542.301,
1991-07,1033.269,
1991-10,940.335,
1992-01,743.910,
1992-04,705.417,
1992-07,917.446,
1992-10,985.445,
1993-01,1044.041,
1993-04,967.815,
1993-07,1047.994,
1993-10,1147.656,
1994-01,1136.878,
1994-04,1197.757,
1994-07,1392.877,
1994-10,1590.647,
1995-01,1691.643,
1995-04,1633.660,
1995-07,1612.442,
1995-10,1542.151,
1996-01,1354.332,
1996-04,1611.090,
1996-07,1906.053,
1996-10,2097.088,
1997-01,1927.739,
1997-04,1909.144,
1997-07,2545.607,
1997-10,2399.702,
1998-01,2448.185,
1998-04,2621.723,
1998-07,2819.701,
1998-10,2472.312,
1999-01,1964.993,
1999-04,2069.623,
1999-07,2258.198,
1999-10,2484.591,
2000-01,2202.615,
2000-04,2478.160,
2000-07,2690.160,
2000-10,2755.570,
2001-01,2773.743,
2001-04,2829.160,
2001-07,2717.364,
2001-10,2300.679,
2002-01,2122.027,
2002-04,2458.445,
2002-07,2464.670,
2002-10,2083.291,
2003-01,2017.617,
2003-04,1843.981,
2003-07,1942.839,
2003-10,1780.702,
2004-01,2028.391,
2004-04,2441.736,
2004-07,2607.539,
2004-10,2428.364,
2005-01,2748.967,
2005-04,2743.817,
2005-07,3331.528,
2005-10,3370.031,
2006-01,3174.489,
2006-04,2937.540,
2006-07,3675.802,
2006-10,3553.368,
2007-01,3392.279,
2007-04,3492.774,
2007-07,3843.302,
2007-10,3662.872,
2008-01,3963.875,
2008-04,4271.120,
2008-07,4249.163,
2008-10,3520.922,
2009-01,2985.206,
2009-04,2641.683,
2009-07,3448.967,
2009-10,3861.701,
2010-01,4168.973,
2010-04,4650.785,
2010-07,5113.530,
2010-10,5309.265,
2011-01,5079.866,
2011-04,4822.702,
2011-07,4829.979,
2011-10,4956.057,
2012-01,5116.375,
2012-04,5160.162,
2012-07,5597.339,
2012-10,5360.131,
2013-01,5141.294,
2013-04,5080.930,
2013-07,5388.705,
2013-10,5501.263,
2014-01,5124.173,Provisional value
2014-04,5129.744,Provisional value
2014-07,5318.510,Provisional value
