"",BBK01.OEAA19G,BBK01.OEAA19G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:27,
2002-01,29.167,
2002-04,31.298,
2002-07,30.808,
2002-10,29.807,
2003-01,27.321,
2003-04,30.349,
2003-07,26.985,
2003-10,26.362,
2004-01,26.616,
2004-04,27.200,
2004-07,24.282,
2004-10,24.928,
2005-01,24.302,
2005-04,26.298,
2005-07,24.182,
2005-10,22.501,
2006-01,23.942,
2006-04,25.001,
2006-07,25.095,
2006-10,24.019,
2007-01,26.116,
2007-04,27.613,
2007-07,29.832,
2007-10,31.782,
2008-01,31.928,
2008-04,32.929,
2008-07,33.645,
2008-10,34.141,
2009-01,37.092,
2009-04,35.226,
2009-07,32.839,
2009-10,29.528,
2010-01,29.057,
2010-04,28.371,
2010-07,28.046,
2010-10,26.399,
2011-01,27.765,
2011-04,27.229,
2011-07,27.401,
2011-10,27.001,
2012-01,27.978,
2012-04,30.755,
2012-07,30.901,
2012-10,29.030,
2013-01,30.548,
2013-04,29.569,
2013-07,26.115,
2013-10,22.956,
2014-01,23.728,
2014-04,24.277,
2014-07,23.999,
