"",BBK01.OEAC12R,BBK01.OEAC12R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:52,
2002-01,1.667,
2002-04,1.647,
2002-07,1.686,
2002-10,1.702,
2003-01,1.630,
2003-04,1.629,
2003-07,2.305,
2003-10,2.322,
2004-01,2.234,
2004-04,2.210,
2004-07,2.236,
2004-10,2.232,
2005-01,2.295,
2005-04,2.246,
2005-07,2.290,
2005-10,2.324,
2006-01,2.340,
2006-04,2.363,
2006-07,2.401,
2006-10,2.442,
2007-01,2.446,
2007-04,2.467,
2007-07,2.417,
2007-10,2.264,
2008-01,2.517,
2008-04,2.524,
2008-07,2.574,
2008-10,2.624,
2009-01,2.695,
2009-04,2.804,
2009-07,2.802,
2009-10,2.697,
2010-01,2.927,
2010-04,2.948,
2010-07,2.984,
2010-10,2.961,
2011-01,2.985,
2011-04,3.002,
2011-07,3.002,
2011-10,3.022,
2012-01,3.041,
2012-04,3.140,
2012-07,3.145,
2012-10,3.211,
2013-01,3.260,
2013-04,3.301,
2013-07,3.309,
2013-10,3.337,
2014-01,3.352,
2014-04,3.374,
2014-07,3.400,
