"",BBFB1.Q.N.DE.O1.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.O1.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Oceania and Polar Regions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:39,
1991-01,301.133,
1991-04,318.635,
1991-07,319.478,
1991-10,289.002,
1992-01,315.983,
1992-04,341.728,
1992-07,348.605,
1992-10,304.446,
1993-01,316.068,
1993-04,291.003,
1993-07,350.649,
1993-10,414.818,
1994-01,313.280,
1994-04,535.095,
1994-07,509.231,
1994-10,545.277,
1995-01,438.162,
1995-04,216.078,
1995-07,266.100,
1995-10,411.120,
1996-01,444.084,
1996-04,625.923,
1996-07,614.847,
1996-10,604.786,
1997-01,464.648,
1997-04,624.559,
1997-07,645.067,
1997-10,610.151,
1998-01,496.617,
1998-04,638.055,
1998-07,586.790,
1998-10,514.362,
1999-01,472.697,
1999-04,511.963,
1999-07,576.416,
1999-10,668.628,
2000-01,508.867,
2000-04,594.063,
2000-07,534.076,
2000-10,579.190,
2001-01,464.055,
2001-04,645.977,
2001-07,780.378,
2001-10,1184.803,
2002-01,583.710,
2002-04,634.654,
2002-07,909.801,
2002-10,966.361,
2003-01,663.326,
2003-04,804.657,
2003-07,981.833,
2003-10,865.651,
2004-01,790.283,
2004-04,1128.184,
2004-07,1110.629,
2004-10,1133.873,
2005-01,1105.248,
2005-04,1287.723,
2005-07,1375.288,
2005-10,928.653,
2006-01,841.637,
2006-04,718.046,
2006-07,1232.480,
2006-10,1056.473,
2007-01,785.825,
2007-04,1079.566,
2007-07,1536.369,
2007-10,1391.332,
2008-01,1561.294,
2008-04,1369.245,
2008-07,1405.407,
2008-10,1569.712,
2009-01,633.884,
2009-04,1152.853,
2009-07,1576.482,
2009-10,1602.519,
2010-01,1630.971,
2010-04,1547.899,
2010-07,1944.555,
2010-10,1563.956,
2011-01,1179.884,
2011-04,1507.634,
2011-07,1645.569,
2011-10,1521.307,
2012-01,1598.053,
2012-04,1674.646,
2012-07,2034.175,
2012-10,2706.917,
2013-01,1594.036,
2013-04,1731.893,
2013-07,2228.283,
2013-10,2060.494,
2014-01,1742.159,Provisional value
2014-04,1957.692,Provisional value
2014-07,2371.621,Provisional value
