"",BBK01.AU1730,BBK01.AU1730_FLAGS
"","Deposit facility / Bundesbank Figures are daily averages for the reserve maintenance period ending in the month indicated. Owing to the changeover to the new operational framework for monetary policity, there is no reserve maintenance period ending in February 2004.",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 15:18:33,
1999-02,893,
1999-03,631,
1999-04,222,
1999-05,204,
1999-06,368,
1999-07,226,
1999-08,241,
1999-09,323,
1999-10,233,
1999-11,198,
1999-12,596,
2000-01,337,
2000-02,193,
2000-03,166,
2000-04,555,
2000-05,1776,
2000-06,256,
2000-07,380,
2000-08,113,
2000-09,89,
2000-10,107,
2000-11,107,
2000-12,111,
2001-01,310,
2001-02,247,
2001-03,374,
2001-04,218,
2001-05,474,
2001-06,321,
2001-07,331,
2001-08,160,
2001-09,123,
2001-10,82,
2001-11,244,
2001-12,538,
2002-01,299,
2002-02,43,
2002-03,51,
2002-04,159,
2002-05,264,
2002-06,260,
2002-07,196,
2002-08,71,
2002-09,132,
2002-10,87,
2002-11,85,
2002-12,153,
2003-01,139,
2003-02,267,
2003-03,78,
2003-04,164,
2003-05,146,
2003-06,205,
2003-07,174,
2003-08,96,
2003-09,379,
2003-10,159,
2003-11,155,
2003-12,56,
2004-01,77,
2004-02,.,No value available
2004-03,155,
2004-04,309,
2004-05,44,
2004-06,336,
2004-07,29,
2004-08,72,
2004-09,62,
2004-10,22,
2004-11,218,
2004-12,54,
2005-01,61,
2005-02,26,
2005-03,38,
2005-04,81,
2005-05,63,
2005-06,67,
2005-07,49,
2005-08,102,
2005-09,24,
2005-10,41,
2005-11,68,
2005-12,71,
2006-01,28,
2006-02,38,
2006-03,97,
2006-04,81,
2006-05,58,
2006-06,88,
2006-07,371,
2006-08,37,
2006-09,26,
2006-10,138,
2006-11,24,
2006-12,17,
2007-01,34,
2007-02,29,
2007-03,155,
2007-04,121,
2007-05,118,
2007-06,47,
2007-07,60,
2007-08,44,
2007-09,252,
2007-10,868,
2007-11,398,
2007-12,253,
2008-01,604,
2008-02,233,
2008-03,187,
2008-04,470,
2008-05,214,
2008-06,59,
2008-07,141,
2008-08,71,
2008-09,171,
2008-10,10133,
2008-11,88774,
2008-12,84192,
2009-01,91518,
2009-02,77937,
2009-03,51859,
2009-04,38945,
2009-05,24141,
2009-06,15392,
2009-07,49444,
2009-08,70069,
2009-09,51849,
2009-10,49358,
2009-11,34157,
2009-12,25684,
2010-01,44815,
2010-02,50349,
2010-03,67794,
2010-04,69828,
2010-05,74863,
2010-06,113057,
2010-07,80991,
2010-08,32728,
2010-09,24782,
2010-10,26979,
2010-11,21176,
2010-12,21200,
2011-01,28155,
2011-02,19756,
2011-03,14564,
2011-04,13585,
2011-05,10758,
2011-06,8061,
2011-07,11079,
2011-08,15351,
2011-09,27800,
2011-10,41524,
2011-11,54974,
2011-12,60440,
2012-01,101716,
2012-02,141928,
2012-03,192592,
2012-04,257244,
2012-05,260506,
2012-06,276906,
2012-07,293303,
2012-08,102017,
2012-09,112061,
2012-10,108203,
2012-11,76660,
2012-12,61346,
2013-01,56147,
2013-02,34202,
2013-03,30420,
2013-04,24385,
2013-05,26836,
2013-06,23858,
2013-07,26111,
2013-08,27504,
2013-09,22346,
2013-10,15777,
2013-11,15118,
2013-12,12921,
2014-01,11016,
2014-02,9517,
2014-03,9081,
2014-04,8198,
2014-05,7864,
2014-06,7675,
2014-07,8386,
2014-08,6775,
2014-09,8652,
2014-10,9004,
2014-11,9012,
2014-12,9282,
2015-01,14914,
