"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.NO.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.NO.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total / Norway,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:16,
2009-09,5538,
2009-10,5438,
2009-11,5726,
2009-12,5904,
2010-01,5942,
2010-02,5997,
2010-03,6575,
2010-04,6953,
2010-05,6901,
2010-06,7264,
2010-07,7388,
2010-08,8062,
2010-09,8125,
2010-10,8029,
2010-11,7802,
2010-12,8217,
2011-01,8550,
2011-02,9011,
2011-03,8887,
2011-04,8713,
2011-05,8528,
2011-06,8411,
2011-07,8599,
2011-08,8450,
2011-09,8510,
2011-10,9077,
2011-11,9126,
2011-12,9403,
2012-01,9995,
2012-02,10067,
2012-03,10752,
2012-04,10779,
2012-05,10791,
2012-06,11457,
2012-07,11915,
2012-08,12238,
2012-09,11876,
2012-10,11663,
2012-11,12297,
2012-12,12230,
2013-01,12385,
2013-02,12294,
2013-03,12338,
2013-04,12521,
2013-05,12506,
2013-06,12222,
2013-07,12254,
2013-08,12203,
2013-09,12451,
2013-10,12576,
2013-11,12884,
2013-12,12975,
2014-01,13000,
2014-02,13183,
2014-03,13412,
2014-04,13404,
2014-05,13380,
2014-06,13259,
2014-07,13340,
2014-08,13508,
2014-09,13409,
2014-10,13390,
2014-11,13097,
