"",BBSF2.M.1.T.00000.DRE01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.DRE01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Funds total / Funds-of-funds: Bonds funds / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:33,
2009-09,46,
2009-10,55,
2009-11,56,
2009-12,57,
2010-01,62,
2010-02,63,
2010-03,74,
2010-04,74,
2010-05,75,
2010-06,78,
2010-07,82,
2010-08,61,
2010-09,64,
2010-10,66,
2010-11,78,
2010-12,76,
2011-01,75,
2011-02,74,
2011-03,73,
2011-04,74,
2011-05,76,
2011-06,75,
2011-07,66,
2011-08,63,
2011-09,60,
2011-10,102,
2011-11,142,
2011-12,153,
2012-01,162,
2012-02,168,
2012-03,172,
2012-04,173,
2012-05,175,
2012-06,171,
2012-07,181,
2012-08,187,
2012-09,193,
2012-10,188,
2012-11,213,
2012-12,218,
2013-01,231,
2013-02,235,
2013-03,235,
2013-04,235,
2013-05,240,
2013-06,233,
2013-07,251,
2013-08,252,
2013-09,256,
2013-10,292,
2013-11,329,
2013-12,332,
2014-01,347,
2014-02,345,
2014-03,339,
2014-04,346,
2014-05,348,
2014-06,361,
2014-07,361,
2014-08,368,
2014-09,218,
2014-10,211,
2014-11,214,
