"",BBK01.OEAN02I,BBK01.OEAN02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:51,
2002-01,11.537,
2002-04,11.154,
2002-07,11.117,
2002-10,11.226,
2003-01,11.304,
2003-04,11.154,
2003-07,11.104,
2003-10,11.084,
2004-01,10.934,
2004-04,10.714,
2004-07,10.628,
2004-10,10.752,
2005-01,13.085,
2005-04,12.970,
2005-07,12.733,
2005-10,12.788,
2006-01,12.703,
2006-04,12.665,
2006-07,12.576,
2006-10,12.784,
2007-01,13.344,
2007-04,13.464,
2007-07,13.786,
2007-10,14.072,
2008-01,14.099,
2008-04,14.256,
2008-07,14.287,
2008-10,15.636,
2009-01,15.384,
2009-04,14.879,
2009-07,14.465,
2009-10,13.495,
2010-01,12.761,
2010-04,12.429,
2010-07,12.249,
2010-10,12.412,
2011-01,12.259,
2011-04,12.142,
2011-07,12.026,
2011-10,11.893,
2012-01,11.823,
2012-04,11.551,
2012-07,11.237,
2012-10,11.038,
2013-01,10.706,
2013-04,10.424,
2013-07,10.165,
2013-10,10.020,
2014-01,9.763,
2014-04,9.611,
2014-07,9.846,
