"",BBK01.OEXK03I,BBK01.OEXK03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:11,
2002-01,0.521,
2002-04,0.484,
2002-07,0.462,
2002-10,0.432,
2003-01,0.440,
2003-04,0.405,
2003-07,0.308,
2003-10,0.312,
2004-01,0.282,
2004-04,0.258,
2004-07,0.238,
2004-10,0.245,
2005-01,0.247,
2005-04,0.257,
2005-07,0.240,
2005-10,0.402,
2006-01,0.364,
2006-04,0.362,
2006-07,0.447,
2006-10,0.687,
2007-01,0.698,
2007-04,0.859,
2007-07,0.770,
2007-10,0.766,
2008-01,0.810,
2008-04,0.748,
2008-07,0.780,
2008-10,0.758,
2009-01,0.372,
2009-04,0.224,
2009-07,0.150,
2009-10,0.126,
2010-01,0.141,
2010-04,0.119,
2010-07,0.086,
2010-10,0.101,
2011-01,0.172,
2011-04,0.225,
2011-07,0.281,
2011-10,0.356,
2012-01,0.417,
2012-04,0.402,
2012-07,0.441,
2012-10,0.378,
2013-01,0.342,
2013-04,0.306,
2013-07,0.283,
2013-10,0.280,
2014-01,0.259,
2014-04,0.254,
2014-07,0.255,
