"",BBK01.OECB12P,BBK01.OECB12P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:15,
2002-01,0.328,
2002-04,0.325,
2002-07,0.318,
2002-10,0.336,
2003-01,0.351,
2003-04,0.351,
2003-07,0.397,
2003-10,0.407,
2004-01,0.398,
2004-04,0.385,
2004-07,0.376,
2004-10,0.362,
2005-01,0.375,
2005-04,0.367,
2005-07,0.355,
2005-10,0.346,
2006-01,0.327,
2006-04,0.329,
2006-07,0.323,
2006-10,0.316,
2007-01,0.319,
2007-04,0.299,
2007-07,0.298,
2007-10,0.289,
2008-01,0.291,
2008-04,0.288,
2008-07,0.291,
2008-10,0.287,
2009-01,0.295,
2009-04,0.279,
2009-07,0.269,
2009-10,0.281,
2010-01,0.257,
2010-04,0.246,
2010-07,0.244,
2010-10,0.239,
2011-01,0.242,
2011-04,0.252,
2011-07,0.262,
2011-10,0.254,
2012-01,0.261,
2012-04,0.217,
2012-07,0.210,
2012-10,0.208,
2013-01,0.205,
2013-04,0.192,
2013-07,0.184,
2013-10,0.205,
2014-01,0.202,
2014-04,0.193,
2014-07,0.182,
