"",BBK01.OEAC39I,BBK01.OEAC39I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:51,
2002-01,2.746,
2002-04,2.744,
2002-07,2.455,
2002-10,2.309,
2003-01,2.094,
2003-04,2.155,
2003-07,2.044,
2003-10,1.839,
2004-01,1.785,
2004-04,1.730,
2004-07,1.755,
2004-10,1.712,
2005-01,1.774,
2005-04,1.713,
2005-07,1.746,
2005-10,1.700,
2006-01,1.667,
2006-04,1.645,
2006-07,1.626,
2006-10,1.605,
2007-01,1.556,
2007-04,1.497,
2007-07,1.438,
2007-10,1.369,
2008-01,1.652,
2008-04,1.879,
2008-07,2.103,
2008-10,2.851,
2009-01,2.859,
2009-04,3.051,
2009-07,3.425,
2009-10,3.292,
2010-01,3.553,
2010-04,3.313,
2010-07,2.943,
2010-10,3.598,
2011-01,3.882,
2011-04,3.685,
2011-07,3.536,
2011-10,3.737,
2012-01,3.834,
2012-04,3.747,
2012-07,3.776,
2012-10,3.469,
2013-01,3.480,
2013-04,3.855,
2013-07,3.851,
2013-10,3.906,
2014-01,3.778,
2014-04,3.888,
2014-07,3.769,
