"",BBK01.OEAH04Q,BBK01.OEAH04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:59,
2002-01,7.464,
2002-04,7.132,
2002-07,6.572,
2002-10,6.926,
2003-01,6.416,
2003-04,5.442,
2003-07,5.361,
2003-10,5.226,
2004-01,5.306,
2004-04,5.653,
2004-07,5.223,
2004-10,10.089,
2005-01,8.435,
2005-04,8.287,
2005-07,8.682,
2005-10,8.928,
2006-01,8.733,
2006-04,9.855,
2006-07,9.875,
2006-10,10.183,
2007-01,10.671,
2007-04,11.699,
2007-07,13.452,
2007-10,17.323,
2008-01,18.416,
2008-04,23.482,
2008-07,24.815,
2008-10,23.031,
2009-01,22.185,
2009-04,19.376,
2009-07,18.303,
2009-10,16.634,
2010-01,16.385,
2010-04,21.455,
2010-07,22.531,
2010-10,20.510,
2011-01,13.020,
2011-04,13.193,
2011-07,14.007,
2011-10,14.146,
2012-01,13.948,
2012-04,16.316,
2012-07,17.295,
2012-10,17.874,
2013-01,13.817,
2013-04,14.039,
2013-07,13.230,
2013-10,13.266,
2014-01,14.111,
2014-04,14.666,
2014-07,13.887,
