"",BBK01.OEYB09H,BBK01.OEYB09H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:32,
2002-01,68.320,
2002-04,67.769,
2002-07,69.357,
2002-10,65.926,
2003-01,64.818,
2003-04,63.685,
2003-07,62.442,
2003-10,64.378,
2004-01,65.025,
2004-04,62.611,
2004-07,61.595,
2004-10,59.736,
2005-01,57.275,
2005-04,57.976,
2005-07,58.325,
2005-10,55.169,
2006-01,59.897,
2006-04,58.860,
2006-07,60.767,
2006-10,55.710,
2007-01,59.163,
2007-04,57.278,
2007-07,60.190,
2007-10,57.896,
2008-01,64.406,
2008-04,65.079,
2008-07,64.643,
2008-10,61.366,
2009-01,64.426,
2009-04,59.845,
2009-07,59.077,
2009-10,52.797,
2010-01,52.508,
2010-04,52.512,
2010-07,51.741,
2010-10,49.565,
2011-01,49.400,
2011-04,49.243,
2011-07,49.399,
2011-10,50.834,
2012-01,49.452,
2012-04,49.731,
2012-07,49.232,
2012-10,49.349,
2013-01,48.337,
2013-04,46.749,
2013-07,44.520,
2013-10,44.297,
2014-01,43.595,
2014-04,43.681,
2014-07,43.524,
