"",BBSF2.M.1.P.00000.REN01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.P.00000.REN01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Public funds / Bonds funds / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:33,
2009-09,21677,
2009-10,21870,
2009-11,22578,
2009-12,22354,
2010-01,22312,
2010-02,22500,
2010-03,22802,
2010-04,21800,
2010-05,22264,
2010-06,22288,
2010-07,22800,
2010-08,22778,
2010-09,22710,
2010-10,22266,
2010-11,20929,
2010-12,20405,
2011-01,20793,
2011-02,21150,
2011-03,21202,
2011-04,20951,
2011-05,20726,
2011-06,20584,
2011-07,20449,
2011-08,20015,
2011-09,19401,
2011-10,19211,
2011-11,18220,
2011-12,18596,
2012-01,19203,
2012-02,19857,
2012-03,19652,
2012-04,19403,
2012-05,19249,
2012-06,19446,
2012-07,20214,
2012-08,20996,
2012-09,21927,
2012-10,22570,
2012-11,23596,
2012-12,23853,
2013-01,24641,
2013-02,24572,
2013-03,24595,
2013-04,25262,
2013-05,25110,
2013-06,23971,
2013-07,24643,
2013-08,24185,
2013-09,24765,
2013-10,25166,
2013-11,25640,
2013-12,26046,
2014-01,27021,
2014-02,27590,
2014-03,27940,
2014-04,28333,
2014-05,28689,
2014-06,28471,
2014-07,28280,
2014-08,28854,
2014-09,29231,
2014-10,29807,
2014-11,31148,
