"",BBK01.OEBI06H,BBK01.OEBI06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:45,
2002-01,1.106,
2002-04,1.156,
2002-07,1.160,
2002-10,1.147,
2003-01,1.117,
2003-04,1.099,
2003-07,1.055,
2003-10,0.988,
2004-01,0.959,
2004-04,0.589,
2004-07,0.577,
2004-10,0.515,
2005-01,0.572,
2005-04,0.559,
2005-07,0.568,
2005-10,0.569,
2006-01,0.584,
2006-04,0.597,
2006-07,0.663,
2006-10,0.686,
2007-01,0.721,
2007-04,0.754,
2007-07,0.768,
2007-10,0.907,
2008-01,1.060,
2008-04,1.201,
2008-07,1.296,
2008-10,1.513,
2009-01,1.704,
2009-04,1.514,
2009-07,1.376,
2009-10,1.272,
2010-01,1.294,
2010-04,1.560,
2010-07,1.722,
2010-10,1.852,
2011-01,1.971,
2011-04,2.271,
2011-07,2.438,
2011-10,2.382,
2012-01,2.398,
2012-04,2.443,
2012-07,2.385,
2012-10,2.219,
2013-01,1.999,
2013-04,1.722,
2013-07,1.657,
2013-10,1.665,
2014-01,1.621,
2014-04,1.602,
2014-07,1.477,
