"",BBK01.OEAP03T,BBK01.OEAP03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:17:04,
2002-01,5.296,
2002-04,5.473,
2002-07,5.514,
2002-10,3.654,
2003-01,3.823,
2003-04,3.791,
2003-07,4.082,
2003-10,3.559,
2004-01,3.748,
2004-04,3.773,
2004-07,3.393,
2004-10,3.153,
2005-01,2.663,
2005-04,2.810,
2005-07,3.191,
2005-10,2.784,
2006-01,2.916,
2006-04,2.451,
2006-07,2.862,
2006-10,2.228,
2007-01,1.882,
2007-04,2.327,
2007-07,2.651,
2007-10,2.247,
2008-01,2.192,
2008-04,2.274,
2008-07,2.523,
2008-10,2.392,
2009-01,2.220,
2009-04,2.611,
2009-07,3.577,
2009-10,3.276,
2010-01,3.163,
2010-04,3.700,
2010-07,4.196,
2010-10,3.420,
2011-01,2.154,
2011-04,0.248,
2011-07,0.409,
2011-10,0.236,
2012-01,0.216,
2012-04,0.242,
2012-07,0.233,
2012-10,0.137,
2013-01,0.190,
2013-04,0.197,
2013-07,0.161,
2013-10,0.160,
2014-01,0.165,
2014-04,0.150,
2014-07,0.137,
