"",BBK01.OEAJ02T,BBK01.OEAJ02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:09,
2002-01,1.352,
2002-04,1.501,
2002-07,1.541,
2002-10,1.722,
2003-01,1.614,
2003-04,1.610,
2003-07,1.673,
2003-10,1.835,
2004-01,1.632,
2004-04,1.712,
2004-07,1.797,
2004-10,1.983,
2005-01,1.772,
2005-04,1.865,
2005-07,1.884,
2005-10,2.055,
2006-01,1.879,
2006-04,1.844,
2006-07,1.882,
2006-10,2.217,
2007-01,1.955,
2007-04,1.915,
2007-07,1.910,
2007-10,2.188,
2008-01,1.927,
2008-04,2.039,
2008-07,2.034,
2008-10,2.546,
2009-01,2.775,
2009-04,3.101,
2009-07,3.460,
2009-10,3.819,
2010-01,3.572,
2010-04,3.685,
2010-07,3.701,
2010-10,3.979,
2011-01,3.522,
2011-04,3.617,
2011-07,3.635,
2011-10,3.515,
2012-01,3.380,
2012-04,3.208,
2012-07,3.403,
2012-10,3.708,
2013-01,3.428,
2013-04,3.469,
2013-07,3.836,
2013-10,4.076,
2014-01,3.871,
2014-04,3.553,
2014-07,3.937,
