"",BBSF2.M.1.T.00000.DAC01.I.F.SVB.DE.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.DAC01.I.F.SVB.DE.00000.F33200.Z01.M1_FLAGS
"",Funds total / Funds-of-funds / Long-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:17,
2009-09,214,
2009-10,224,
2009-11,228,
2009-12,255,
2010-01,288,
2010-02,304,
2010-03,291,
2010-04,279,
2010-05,274,
2010-06,296,
2010-07,329,
2010-08,326,
2010-09,321,
2010-10,312,
2010-11,328,
2010-12,300,
2011-01,282,
2011-02,263,
2011-03,272,
2011-04,255,
2011-05,253,
2011-06,249,
2011-07,364,
2011-08,373,
2011-09,421,
2011-10,437,
2011-11,455,
2011-12,424,
2012-01,426,
2012-02,387,
2012-03,355,
2012-04,430,
2012-05,417,
2012-06,414,
2012-07,420,
2012-08,416,
2012-09,458,
2012-10,466,
2012-11,443,
2012-12,457,
2013-01,383,
2013-02,398,
2013-03,370,
2013-04,374,
2013-05,403,
2013-06,408,
2013-07,415,
2013-08,403,
2013-09,398,
2013-10,452,
2013-11,460,
2013-12,453,
2014-01,472,
2014-02,469,
2014-03,484,
2014-04,482,
2014-05,479,
2014-06,466,
2014-07,466,
2014-08,457,
2014-09,422,
2014-10,510,
2014-11,552,
