"",BBFB1.Q.N.DE.E14000.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.E14000.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Other European countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:14,
1991-01,825.246,
1991-04,261.910,
1991-07,266.414,
1991-10,-416.375,
1992-01,201.213,
1992-04,249.039,
1992-07,219.086,
1992-10,403.038,
1993-01,219.397,
1993-04,264.732,
1993-07,140.521,
1993-10,293.186,
1994-01,141.554,
1994-04,217.538,
1994-07,416.001,
1994-10,228.432,
1995-01,204.770,
1995-04,146.789,
1995-07,269.633,
1995-10,478.433,
1996-01,151.354,
1996-04,346.549,
1996-07,133.086,
1996-10,317.452,
1997-01,1167.343,
1997-04,784.747,
1997-07,1744.045,
1997-10,662.276,
1998-01,905.330,
1998-04,2918.397,
1998-07,-426.720,
1998-10,1257.328,
1999-01,188.841,
1999-04,653.922,
1999-07,668.726,
1999-10,854.602,
2000-01,1814.918,
2000-04,-522.245,
2000-07,1466.960,
2000-10,672.205,
2001-01,-2678.120,
2001-04,619.285,
2001-07,890.647,
2001-10,286.702,
2002-01,-653.723,
2002-04,400.846,
2002-07,924.048,
2002-10,-349.501,
2003-01,1565.191,
2003-04,217.634,
2003-07,-601.240,
2003-10,-233.454,
2004-01,1601.085,
2004-04,1176.784,
2004-07,217.555,
2004-10,-2332.622,
2005-01,1809.766,
2005-04,1790.607,
2005-07,377.499,
2005-10,6505.557,
2006-01,647.740,
2006-04,-45.541,
2006-07,3829.113,
2006-10,3492.425,
2007-01,15756.551,
2007-04,3554.553,
2007-07,3955.473,
2007-10,2931.282,
2008-01,3261.823,
2008-04,2940.514,
2008-07,2502.665,
2008-10,1413.674,
2009-01,1415.500,
2009-04,1865.199,
2009-07,980.382,
2009-10,116.792,
2010-01,2632.961,
2010-04,1632.304,
2010-07,1133.853,
2010-10,2935.692,
2011-01,2586.813,
2011-04,2201.866,
2011-07,-26.392,
2011-10,1074.342,
2012-01,1702.126,
2012-04,3012.917,
2012-07,-572.305,
2012-10,-2380.737,
2013-01,3715.152,
2013-04,1809.048,
2013-07,-33.972,
2013-10,456.354,
2014-01,2855.437,Provisional value
2014-04,4055.422,Provisional value
2014-07,-580.776,Provisional value
2014-10,-893.795,Provisional value
