"",BBK01.OEAC07H,BBK01.OEAC07H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:12,
2002-01,5.589,
2002-04,5.628,
2002-07,5.893,
2002-10,5.752,
2003-01,5.581,
2003-04,5.297,
2003-07,5.116,
2003-10,5.137,
2004-01,5.147,
2004-04,4.434,
2004-07,4.343,
2004-10,4.706,
2005-01,5.737,
2005-04,5.825,
2005-07,5.662,
2005-10,5.536,
2006-01,5.640,
2006-04,5.973,
2006-07,6.058,
2006-10,6.188,
2007-01,6.059,
2007-04,6.428,
2007-07,6.372,
2007-10,6.296,
2008-01,6.267,
2008-04,6.714,
2008-07,6.750,
2008-10,6.773,
2009-01,6.631,
2009-04,6.513,
2009-07,6.469,
2009-10,6.385,
2010-01,6.566,
2010-04,6.742,
2010-07,6.528,
2010-10,6.694,
2011-01,6.771,
2011-04,6.580,
2011-07,6.919,
2011-10,7.116,
2012-01,7.193,
2012-04,7.777,
2012-07,7.662,
2012-10,7.674,
2013-01,7.765,
2013-04,7.474,
2013-07,7.238,
2013-10,7.331,
2014-01,7.263,
2014-04,7.124,
2014-07,6.963,
