"",BBK01.OEAC07S,BBK01.OEAC07S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:16,
2002-01,0.291,
2002-04,0.241,
2002-07,0.235,
2002-10,0.235,
2003-01,0.231,
2003-04,0.227,
2003-07,0.212,
2003-10,0.233,
2004-01,0.230,
2004-04,0.218,
2004-07,0.222,
2004-10,0.202,
2005-01,0.207,
2005-04,0.205,
2005-07,0.205,
2005-10,0.191,
2006-01,0.162,
2006-04,0.160,
2006-07,0.154,
2006-10,0.150,
2007-01,0.153,
2007-04,0.152,
2007-07,0.148,
2007-10,0.163,
2008-01,0.163,
2008-04,0.163,
2008-07,0.168,
2008-10,0.177,
2009-01,0.190,
2009-04,0.184,
2009-07,0.171,
2009-10,0.166,
2010-01,0.186,
2010-04,0.182,
2010-07,0.179,
2010-10,0.197,
2011-01,0.207,
2011-04,0.251,
2011-07,0.277,
2011-10,0.412,
2012-01,0.478,
2012-04,0.544,
2012-07,0.591,
2012-10,0.630,
2013-01,0.633,
2013-04,0.644,
2013-07,0.639,
2013-10,0.637,
2014-01,0.631,
2014-04,0.647,
2014-07,0.638,
