"",BBK01.OEHI04K,BBK01.OEHI04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:44,
2002-01,5.453,
2002-04,5.431,
2002-07,4.575,
2002-10,5.159,
2003-01,3.955,
2003-04,4.042,
2003-07,4.164,
2003-10,4.176,
2004-01,3.871,
2004-04,3.910,
2004-07,3.505,
2004-10,4.709,
2005-01,4.087,
2005-04,3.250,
2005-07,3.201,
2005-10,2.671,
2006-01,3.001,
2006-04,3.325,
2006-07,3.645,
2006-10,3.726,
2007-01,3.315,
2007-04,3.020,
2007-07,2.980,
2007-10,3.000,
2008-01,3.205,
2008-04,4.172,
2008-07,4.644,
2008-10,4.752,
2009-01,3.393,
2009-04,3.174,
2009-07,2.756,
2009-10,2.987,
2010-01,2.684,
2010-04,2.780,
2010-07,2.590,
2010-10,2.525,
2011-01,2.366,
2011-04,2.945,
2011-07,3.075,
2011-10,2.325,
2012-01,1.833,
2012-04,1.653,
2012-07,1.144,
2012-10,0.776,
2013-01,0.995,
2013-04,0.910,
2013-07,0.744,
2013-10,0.698,
2014-01,0.851,
2014-04,0.920,
2014-07,0.608,
