"",BBK01.OEXB10O,BBK01.OEXB10O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:11,
2002-01,-0.025,
2002-04,-0.375,
2002-07,-0.171,
2002-10,0.019,
2003-01,0.001,
2003-04,-0.352,
2003-07,0.058,
2003-10,-0.509,
2004-01,0.072,
2004-04,-0.097,
2004-07,-0.028,
2004-10,-0.546,
2005-01,0.841,
2005-04,0.809,
2005-07,0.873,
2005-10,0.885,
2006-01,0.954,
2006-04,0.911,
2006-07,0.992,
2006-10,1.074,
2007-01,1.121,
2007-04,1.077,
2007-07,1.239,
2007-10,1.314,
2008-01,1.328,
2008-04,1.249,
2008-07,1.350,
2008-10,1.123,
2009-01,1.040,
2009-04,0.917,
2009-07,1.098,
2009-10,1.174,
2010-01,1.202,
2010-04,1.218,
2010-07,1.317,
2010-10,1.570,
2011-01,1.622,
2011-04,1.568,
2011-07,1.663,
2011-10,1.702,
2012-01,1.704,
2012-04,1.729,
2012-07,1.670,
2012-10,1.731,
2013-01,1.679,
2013-04,1.772,
2013-07,1.634,
2013-10,1.643,
2014-01,1.614,
2014-04,1.520,
2014-07,1.641,
