"",BBK01.OEBB03K,BBK01.OEBB03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:08,
2002-01,4.386,
2002-04,4.239,
2002-07,4.222,
2002-10,4.274,
2003-01,4.580,
2003-04,5.123,
2003-07,6.172,
2003-10,5.564,
2004-01,7.078,
2004-04,5.960,
2004-07,6.287,
2004-10,7.044,
2005-01,5.597,
2005-04,5.699,
2005-07,5.841,
2005-10,5.774,
2006-01,5.797,
2006-04,5.749,
2006-07,5.836,
2006-10,6.133,
2007-01,6.116,
2007-04,6.401,
2007-07,6.732,
2007-10,6.629,
2008-01,6.862,
2008-04,7.277,
2008-07,7.839,
2008-10,7.897,
2009-01,7.640,
2009-04,8.419,
2009-07,8.166,
2009-10,8.411,
2010-01,8.309,
2010-04,7.240,
2010-07,7.083,
2010-10,6.732,
2011-01,6.519,
2011-04,6.599,
2011-07,7.257,
2011-10,7.182,
2012-01,6.739,
2012-04,6.863,
2012-07,7.002,
2012-10,7.475,
2013-01,7.652,
2013-04,7.842,
2013-07,7.189,
2013-10,7.342,
2014-01,7.415,
2014-04,7.717,
2014-07,7.880,
