"",BBK01.CEF3C0,BBK01.CEF3C0_FLAGS
"",Debt securities                                  debtor: General government                        creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:41,
1999-01,756.8,
1999-04,747.3,
1999-07,737.6,
1999-10,743.2,
2000-01,745.7,
2000-04,751.1,
2000-07,750.9,
2000-10,775.6,
2001-01,763.7,
2001-04,761.1,
2001-07,784.9,
2001-10,805.9,
2002-01,804.1,
2002-04,830.9,
2002-07,880.1,
2002-10,885.9,
2003-01,931.5,
2003-04,957.5,
2003-07,938.9,
2003-10,951.5,
2004-01,1003.1,
2004-04,998.6,
2004-07,1026.8,
2004-10,1050.1,
2005-01,1062.7,
2005-04,1112.2,
2005-07,1128.2,
2005-10,1127.8,
2006-01,1121.7,
2006-04,1122.6,
2006-07,1144.3,
2006-10,1152.7,
2007-01,1140.4,
2007-04,1126.0,
2007-07,1128.8,
2007-10,1154.2,
2008-01,1167.6,
2008-04,1159.8,
2008-07,1186.6,
2008-10,1256.6,
2009-01,1290.9,
2009-04,1334.7,
2009-07,1349.2,
2009-10,1370.4,
2010-01,1404.3,
2010-04,1459.9,
2010-07,1499.9,
2010-10,1485.9,
2011-01,1478.4,
2011-04,1526.9,
2011-07,1619.6,
2011-10,1612.2,
2012-01,1657.2,
2012-04,1725.4,
2012-07,1718.7,
2012-10,1743.3,
2013-01,1742.7,
2013-04,1713.5,
2013-07,1675.3,
2013-10,1685.4,
2014-01,1714.3,
2014-04,1741.1,
2014-07,1771.8,
