"",BBK01.TU2022,BBK01.TU2022_FLAGS
"",Foreign branches: Short-term-Deposits of german non-banks non-MFIs) / total,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 10:35:22,
1973-06,0.003,
1973-07,0.003,
1973-08,0.002,
1973-09,0.002,
1973-10,0.004,
1973-11,0.005,
1973-12,0.005,
1974-01,0.008,
1974-02,0.007,
1974-03,0.046,
1974-04,0.024,
1974-05,0.056,
1974-06,0.038,
1974-07,0.078,
1974-08,0.054,
1974-09,0.211,
1974-10,0.077,
1974-11,0.056,
1974-12,0.127,
1975-01,0.066,
1975-02,0.056,
1975-03,0.071,
1975-04,0.067,
1975-05,0.075,
1975-06,0.102,
1975-07,0.086,
1975-08,0.126,
1975-09,0.097,
1975-10,0.077,
1975-11,0.090,
1975-12,0.076,
1976-01,0.066,
1976-02,0.070,
1976-03,0.083,
1976-04,0.070,
1976-05,0.097,
1976-06,0.197,
1976-07,0.253,
1976-08,0.285,
1976-09,0.287,
1976-10,0.259,
1976-11,0.348,
1976-12,0.258,
1977-01,0.371,
1977-02,0.258,
1977-03,0.405,
1977-04,0.451,
1977-05,0.510,
1977-06,0.505,
1977-07,0.480,
1977-08,0.521,
1977-09,0.262,
1977-10,0.256,
1977-11,0.298,
1977-12,0.327,
1978-01,0.298,
1978-02,0.224,
1978-03,0.287,
1978-04,0.213,
1978-05,0.218,
1978-06,0.285,
1978-07,0.329,
1978-08,0.314,
1978-09,0.309,
1978-10,0.296,
1978-11,0.283,
1978-12,0.369,
1979-01,0.413,
1979-02,0.367,
1979-03,0.493,
1979-04,0.613,
1979-05,0.734,
1979-06,0.481,
1979-07,0.563,
1979-08,0.677,
1979-09,0.455,
1979-10,0.637,
1979-11,0.606,
1979-12,0.569,
1980-01,0.437,
1980-02,0.642,
1980-03,0.747,
1980-04,0.799,
1980-05,0.750,
1980-06,0.614,
1980-07,0.613,
1980-08,0.542,
1980-09,0.620,
1980-10,1.036,
1980-11,1.173,
1980-12,1.543,
1981-01,1.779,
1981-02,1.878,
1981-03,2.403,
1981-04,1.598,
1981-05,1.910,
1981-06,1.792,
1981-07,1.805,
1981-08,1.659,
1981-09,1.521,
1981-10,1.779,
1981-11,1.785,
1981-12,1.703,
1982-01,2.084,
1982-02,2.186,
1982-03,2.594,
1982-04,2.337,
1982-05,2.179,
1982-06,2.641,
1982-07,2.243,
1982-08,1.978,
1982-09,1.746,
1982-10,1.746,
1982-11,1.887,
1982-12,1.749,
1983-01,1.980,
1983-02,1.935,
1983-03,1.833,
1983-04,1.958,
1983-05,2.171,
1983-06,2.383,
1983-07,2.150,
1983-08,2.061,
1983-09,1.973,
1983-10,2.209,
1983-11,2.252,
1983-12,1.890,
1984-01,2.748,
1984-02,2.728,
1984-03,2.998,
1984-04,3.014,
1984-05,3.239,
1984-06,2.782,
1984-07,2.694,
1984-08,2.586,
1984-09,2.720,
1984-10,3.192,
1984-11,3.514,
1984-12,3.511,
1985-01,3.648,
1985-02,3.792,
1985-03,4.709,
1985-04,4.594,
1985-05,4.594,
1985-06,4.699,
1985-07,4.901,
1985-08,4.590,
1985-09,4.138,
1985-10,5.532,
1985-11,5.289,
1985-12,4.541,
1986-01,6.819,
1986-02,7.377,
1986-03,10.677,
1986-04,13.129,
1986-05,12.815,
1986-06,11.857,
1986-07,12.686,
1986-08,13.151,
1986-09,12.630,
1986-10,14.494,
1986-11,14.860,
1986-12,12.910,
1987-01,14.509,
1987-02,14.270,
1987-03,15.285,
1987-04,16.291,
1987-05,16.212,
1987-06,15.980,
1987-07,17.294,
1987-08,17.305,
1987-09,16.931,
1987-10,17.958,
1987-11,15.796,
1987-12,14.754,
1988-01,17.331,
1988-02,16.748,
1988-03,18.250,
1988-04,17.830,
1988-05,18.327,
1988-06,18.216,
1988-07,18.756,
1988-08,19.268,
1988-09,18.129,
1988-10,18.940,
