"",BBK01.OEHL02R,BBK01.OEHL02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:37,
2002-01,2.183,
2002-04,2.172,
2002-07,2.157,
2002-10,2.201,
2003-01,2.167,
2003-04,2.144,
2003-07,2.140,
2003-10,2.152,
2004-01,2.136,
2004-04,2.116,
2004-07,2.114,
2004-10,2.157,
2005-01,2.100,
2005-04,2.077,
2005-07,2.076,
2005-10,2.119,
2006-01,2.151,
2006-04,2.133,
2006-07,2.164,
2006-10,2.168,
2007-01,2.143,
2007-04,2.152,
2007-07,2.201,
2007-10,2.223,
2008-01,2.191,
2008-04,2.207,
2008-07,2.209,
2008-10,2.306,
2009-01,2.360,
2009-04,2.463,
2009-07,2.568,
2009-10,2.637,
2010-01,2.668,
2010-04,2.724,
2010-07,2.753,
2010-10,2.798,
2011-01,2.776,
2011-04,2.780,
2011-07,2.795,
2011-10,2.860,
2012-01,2.848,
2012-04,2.916,
2012-07,3.016,
2012-10,3.106,
2013-01,3.141,
2013-04,3.215,
2013-07,3.256,
2013-10,3.328,
2014-01,3.392,
2014-04,3.476,
2014-07,3.575,
