"",BBK01.CELB0N,BBK01.CELB0N_FLAGS
"",long-term debt securities debtor: Total                               creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:51:00,
1999-01,38.3,
1999-04,25.6,
1999-07,31.4,
1999-10,12.5,
2000-01,10.3,
2000-04,27.7,
2000-07,19.7,
2000-10,16.9,
2001-01,16.8,
2001-04,18.3,
2001-07,22.7,
2001-10,22.7,
2002-01,30.0,
2002-04,37.2,
2002-07,21.8,
2002-10,0.0,
2003-01,17.2,
2003-04,28.5,
2003-07,6.2,
2003-10,13.7,
2004-01,55.1,
2004-04,21.9,
2004-07,43.3,
2004-10,19.8,
2005-01,43.8,
2005-04,66.0,
2005-07,27.6,
2005-10,23.4,
2006-01,43.9,
2006-04,52.7,
2006-07,8.2,
2006-10,34.3,
2007-01,4.3,
2007-04,54.3,
2007-07,-31.9,
2007-10,20.4,
2008-01,-7.5,
2008-04,54.8,
2008-07,23.9,
2008-10,-31.1,
2009-01,-11.1,
2009-04,18.8,
2009-07,-40.7,
2009-10,2.5,
2010-01,42.5,
2010-04,12.5,
2010-07,-11.8,
2010-10,40.5,
2011-01,4.9,
2011-04,34.3,
2011-07,0.4,
2011-10,-20.0,
2012-01,4.2,
2012-04,32.9,
2012-07,17.8,
2012-10,-10.7,
2013-01,-1.1,
2013-04,-25.8,
2013-07,-15.3,
2013-10,3.0,
2014-01,1.4,
2014-04,11.8,
2014-07,11.7,
