"",BBK01.OEXI02H,BBK01.OEXI02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:34,
2002-01,17.430,
2002-04,17.022,
2002-07,17.762,
2002-10,18.975,
2003-01,20.046,
2003-04,20.358,
2003-07,18.673,
2003-10,18.543,
2004-01,19.286,
2004-04,14.388,
2004-07,13.969,
2004-10,13.905,
2005-01,15.413,
2005-04,17.625,
2005-07,19.394,
2005-10,19.178,
2006-01,21.383,
2006-04,25.077,
2006-07,24.124,
2006-10,24.253,
2007-01,25.411,
2007-04,26.135,
2007-07,28.327,
2007-10,27.803,
2008-01,29.124,
2008-04,27.755,
2008-07,28.633,
2008-10,28.032,
2009-01,28.772,
2009-04,29.204,
2009-07,32.907,
2009-10,32.804,
2010-01,34.149,
2010-04,35.950,
2010-07,35.427,
2010-10,33.287,
2011-01,35.264,
2011-04,35.808,
2011-07,40.282,
2011-10,37.432,
2012-01,38.671,
2012-04,41.001,
2012-07,45.399,
2012-10,42.836,
2013-01,45.692,
2013-04,47.912,
2013-07,49.482,
2013-10,48.482,
2014-01,50.092,
2014-04,51.841,
2014-07,54.746,
