"",BBFN1.M.DE.N.1.L.HK.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.HK.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Hong Kong,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:34,
1982-09,0.060,
1982-10,0.061,
1982-11,0.079,
1982-12,0.079,
1983-01,0.130,
1983-02,0.129,
1983-03,0.141,
1983-04,0.174,
1983-05,0.182,
1983-06,0.189,
1983-07,0.194,
1983-08,0.186,
1983-09,0.184,
1983-10,0.195,
1983-11,0.202,
1983-12,0.147,
1984-01,0.164,
1984-02,0.175,
1984-03,0.159,
1984-04,0.161,
1984-05,0.165,
1984-06,0.175,
1984-07,0.192,
1984-08,0.275,
1984-09,0.283,
1984-10,0.258,
1984-11,0.288,
1984-12,0.329,
1985-01,0.347,
1985-02,0.341,
1985-03,0.333,
1985-04,0.301,
1985-05,0.297,
1985-06,0.308,
1985-07,0.240,
1985-08,0.294,
1985-09,0.280,
1985-10,0.304,
1985-11,0.297,
1985-12,0.308,
1986-01,0.286,
1986-02,0.302,
1986-03,0.287,
1986-04,0.258,
1986-05,0.278,
1986-06,0.294,
1986-07,0.301,
1986-08,0.298,
1986-09,0.272,
1986-10,0.289,
1986-11,0.248,
1986-12,0.234,
1987-01,0.232,
1987-02,0.261,
1987-03,0.212,
1987-04,0.225,
1987-05,0.247,
1987-06,0.280,
1987-07,0.251,
1987-08,0.253,
1987-09,0.351,
1987-10,0.372,
1987-11,0.395,
1987-12,0.393,
1988-01,0.398,
1988-02,0.416,
1988-03,0.399,
1988-04,0.399,
1988-05,0.381,
1988-06,0.383,
1988-07,0.402,
1988-08,0.429,
1988-09,0.442,
1988-10,0.444,
1988-11,0.448,
1988-12,0.490,
1989-01,0.436,
1989-02,0.433,
1989-03,0.426,
1989-04,0.404,
1989-05,0.390,
1989-06,0.373,
1989-07,0.381,
1989-08,0.386,
1989-09,0.399,
1989-10,0.400,
1989-11,0.455,
1989-12,0.433,
1990-01,0.451,
1990-02,0.429,
1990-03,0.438,
1990-04,0.454,
1990-05,0.458,
1990-06,0.465,
1990-07,0.495,
1990-08,0.460,
1990-09,0.448,
1990-10,0.460,
1990-11,0.478,
1990-12,0.477,
1991-01,0.478,
1991-02,0.424,
1991-03,0.485,
1991-04,0.508,
1991-05,0.571,
1991-06,0.586,
1991-07,0.609,
1991-08,0.635,
1991-09,0.567,
1991-10,0.625,
1991-11,0.662,
1991-12,0.630,
1992-01,0.684,
1992-02,0.732,
1992-03,0.754,
1992-04,0.851,
1992-05,0.869,
1992-06,0.816,
1992-07,0.902,
1992-08,0.679,
1992-09,0.664,
1992-10,0.757,
1992-11,0.766,
1992-12,0.847,
1993-01,0.787,
1993-02,0.837,
1993-03,0.873,
1993-04,0.903,
1993-05,1.056,
1993-06,1.124,
1993-07,1.157,
1993-08,1.210,
1993-09,1.205,
1993-10,1.272,
1993-11,1.243,
1993-12,1.287,
1994-01,1.201,
1994-02,1.199,
1994-03,1.253,
1994-04,1.300,
1994-05,1.334,
1994-06,1.291,
1994-07,1.320,
1994-08,1.294,
1994-09,1.146,
1994-10,1.084,
1994-11,1.097,
1994-12,1.067,
1995-01,1.052,
1995-02,1.053,
1995-03,1.054,
1995-04,1.062,
1995-05,1.102,
1995-06,1.105,
1995-07,1.095,
1995-08,1.139,
1995-09,1.137,
1995-10,1.187,
1995-11,1.207,
1995-12,1.157,
1996-01,1.170,
1996-02,1.251,
1996-03,1.276,
1996-04,1.309,
1996-05,1.258,
1996-06,1.237,
1996-07,1.291,
1996-08,1.349,
1996-09,1.495,
1996-10,1.538,
1996-11,1.549,
1996-12,1.593,
1997-01,1.672,
1997-02,1.720,
1997-03,1.734,
1997-04,1.771,
1997-05,1.833,
1997-06,1.853,
1997-07,1.821,
1997-08,1.859,
1997-09,1.943,
1997-10,1.926,
1997-11,1.873,
1997-12,1.998,
1998-01,2.014,
1998-02,2.043,
1998-03,2.031,
1998-04,2.066,
1998-05,2.114,
1998-06,2.275,
1998-07,2.257,
1998-08,2.216,
1998-09,2.160,
1998-10,2.278,
1998-11,2.286,
1998-12,2.227,
1999-01,2.281,
1999-02,2.377,
1999-03,2.335,
1999-04,2.428,
1999-05,2.388,
1999-06,2.429,
1999-07,2.334,
1999-08,2.344,
1999-09,2.505,
1999-10,2.330,
1999-11,2.302,
1999-12,2.365,
2000-01,2.334,
2000-02,2.345,
2000-03,2.363,
2000-04,2.365,
2000-05,2.348,
2000-06,2.334,
2000-07,2.400,
2000-08,2.432,
2000-09,2.425,
2000-10,2.439,
2000-11,2.409,
2000-12,2.459,
2001-01,2.379,
2001-02,2.378,
2001-03,2.020,
2001-04,1.726,
2001-05,1.398,
2001-06,1.019,
2001-07,0.787,
2001-08,0.814,
2001-09,0.830,
2001-10,0.844,
2001-11,0.797,
2001-12,0.808,
2002-01,0.815,
2002-02,0.812,
2002-03,0.836,
2002-04,0.822,
2002-05,0.746,
2002-06,0.774,
2002-07,0.785,
2002-08,0.783,
2002-09,0.743,
2002-10,0.677,
2002-11,0.665,
2002-12,0.643,
2003-01,0.636,
2003-02,0.606,
2003-03,0.603,
2003-04,0.614,
2003-05,0.717,
2003-06,0.728,
2003-07,0.633,
2003-08,0.660,
2003-09,0.686,
2003-10,0.746,
2003-11,0.746,
2003-12,0.658,
2004-01,0.747,
2004-02,0.749,
2004-03,0.826,
2004-04,0.831,
2004-05,0.814,
2004-06,0.897,
2004-07,0.903,
2004-08,0.978,
2004-09,1.051,
2004-10,0.982,
2004-11,0.888,
2004-12,0.881,
2005-01,0.613,
2005-02,0.640,
2005-03,0.624,
2005-04,0.609,
2005-05,0.622,
2005-06,0.636,
2005-07,0.625,
2005-08,0.647,
2005-09,0.670,
2005-10,0.658,
2005-11,0.641,
2005-12,0.653,
2006-01,0.585,
2006-02,0.566,
2006-03,0.635,
2006-04,0.568,
2006-05,0.597,
2006-06,0.686,
2006-07,0.586,
2006-08,0.569,
2006-09,0.558,
2006-10,0.563,
2006-11,0.405,
2006-12,0.549,
2007-01,0.647,
2007-02,0.670,
2007-03,0.715,
2007-04,0.763,
2007-05,0.569,
2007-06,0.620,
2007-07,0.621,
2007-08,0.645,
2007-09,0.654,
2007-10,0.633,
2007-11,0.656,
2007-12,0.668,
2008-01,0.618,
2008-02,0.641,
2008-03,0.645,
2008-04,0.626,
2008-05,0.612,
2008-06,0.603,
2008-07,0.594,
2008-08,0.583,
2008-09,0.625,
2008-10,0.605,
2008-11,0.668,
2008-12,0.749,
2009-01,0.672,
2009-02,0.655,
2009-03,0.724,
2009-04,0.896,
2009-05,0.916,
2009-06,0.917,
2009-07,0.963,
2009-08,0.957,
2009-09,0.988,
2009-10,0.970,
2009-11,0.948,
2009-12,0.636,
2010-01,0.646,
2010-02,0.634,
2010-03,0.704,
2010-04,0.695,
2010-05,0.760,
2010-06,0.830,
2010-07,0.851,
2010-08,0.883,
2010-09,0.881,
2010-10,1.043,
2010-11,1.060,
