"",BBK01.OEAA03J,BBK01.OEAA03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:29,
2002-01,4.057,
2002-04,4.282,
2002-07,4.349,
2002-10,4.042,
2003-01,3.851,
2003-04,3.714,
2003-07,3.816,
2003-10,3.727,
2004-01,3.386,
2004-04,3.519,
2004-07,3.293,
2004-10,3.745,
2005-01,3.454,
2005-04,3.237,
2005-07,3.247,
2005-10,3.147,
2006-01,3.182,
2006-04,3.209,
2006-07,3.127,
2006-10,3.266,
2007-01,3.322,
2007-04,3.297,
2007-07,3.319,
2007-10,3.464,
2008-01,3.433,
2008-04,3.598,
2008-07,3.686,
2008-10,3.495,
2009-01,3.951,
2009-04,3.558,
2009-07,3.626,
2009-10,3.432,
2010-01,3.500,
2010-04,3.651,
2010-07,3.612,
2010-10,3.751,
2011-01,3.845,
2011-04,4.007,
2011-07,3.941,
2011-10,3.982,
2012-01,4.388,
2012-04,4.561,
2012-07,4.788,
2012-10,4.654,
2013-01,4.805,
2013-04,4.437,
2013-07,4.546,
2013-10,4.572,
2014-01,4.601,
2014-04,4.469,
2014-07,4.585,
