"",BBK01.OEAH16I,BBK01.OEAH16I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:25,
2002-01,22.559,
2002-04,22.565,
2002-07,23.198,
2002-10,24.855,
2003-01,23.910,
2003-04,25.287,
2003-07,24.670,
2003-10,24.995,
2004-01,25.924,
2004-04,26.627,
2004-07,26.854,
2004-10,28.058,
2005-01,30.962,
2005-04,31.303,
2005-07,32.056,
2005-10,34.392,
2006-01,33.740,
2006-04,34.615,
2006-07,34.576,
2006-10,35.512,
2007-01,33.783,
2007-04,35.388,
2007-07,35.410,
2007-10,36.290,
2008-01,34.647,
2008-04,36.336,
2008-07,34.229,
2008-10,43.324,
2009-01,51.654,
2009-04,54.541,
2009-07,59.368,
2009-10,60.004,
2010-01,65.342,
2010-04,65.805,
2010-07,65.202,
2010-10,68.064,
2011-01,69.161,
2011-04,70.888,
2011-07,73.303,
2011-10,75.752,
2012-01,79.351,
2012-04,84.511,
2012-07,85.178,
2012-10,88.400,
2013-01,91.335,
2013-04,93.983,
2013-07,92.671,
2013-10,94.742,
2014-01,94.259,
2014-04,96.724,
2014-07,97.655,
