"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.LU.00013.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.LU.00013.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Luxembourg / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:11,
2009-09,6,
2009-10,6,
2009-11,6,
2009-12,6,
2010-01,17,
2010-02,18,
2010-03,21,
2010-04,27,
2010-05,152,
2010-06,148,
2010-07,149,
2010-08,156,
2010-09,161,
2010-10,139,
2010-11,136,
2010-12,134,
2011-01,159,
2011-02,144,
2011-03,145,
2011-04,139,
2011-05,136,
2011-06,130,
2011-07,130,
2011-08,122,
2011-09,93,
2011-10,136,
2011-11,137,
2011-12,142,
2012-01,143,
2012-02,151,
2012-03,210,
2012-04,227,
2012-05,240,
2012-06,245,
2012-07,260,
2012-08,264,
2012-09,263,
2012-10,260,
2012-11,257,
2012-12,256,
2013-01,246,
2013-02,243,
2013-03,277,
2013-04,267,
2013-05,258,
2013-06,276,
2013-07,352,
2013-08,455,
2013-09,455,
2013-10,485,
2013-11,473,
2013-12,424,
2014-01,464,
2014-02,476,
2014-03,481,
2014-04,481,
2014-05,498,
2014-06,518,
2014-07,504,
2014-08,513,
2014-09,508,
2014-10,515,
2014-11,518,
