"",BBK01.OEAC31R,BBK01.OEAC31R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:55,
2002-01,0.413,
2002-04,0.404,
2002-07,0.412,
2002-10,0.416,
2003-01,0.462,
2003-04,0.472,
2003-07,0.471,
2003-10,0.453,
2004-01,0.457,
2004-04,0.450,
2004-07,0.399,
2004-10,0.385,
2005-01,0.379,
2005-04,0.381,
2005-07,0.378,
2005-10,0.361,
2006-01,0.333,
2006-04,0.337,
2006-07,0.345,
2006-10,0.342,
2007-01,0.321,
2007-04,0.327,
2007-07,0.330,
2007-10,0.268,
2008-01,0.281,
2008-04,0.280,
2008-07,0.280,
2008-10,0.290,
2009-01,0.350,
2009-04,0.376,
2009-07,0.295,
2009-10,0.322,
2010-01,0.384,
2010-04,0.390,
2010-07,0.403,
2010-10,0.389,
2011-01,0.412,
2011-04,0.433,
2011-07,0.438,
2011-10,0.423,
2012-01,0.417,
2012-04,0.439,
2012-07,0.446,
2012-10,0.416,
2013-01,0.448,
2013-04,0.449,
2013-07,0.476,
2013-10,0.478,
2014-01,0.468,
2014-04,0.466,
2014-07,0.448,
