"",BBK01.OEXL03M,BBK01.OEXL03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:01,
2002-01,1.792,
2002-04,1.712,
2002-07,1.756,
2002-10,1.743,
2003-01,1.649,
2003-04,1.501,
2003-07,1.379,
2003-10,1.308,
2004-01,1.272,
2004-04,1.388,
2004-07,1.361,
2004-10,1.300,
2005-01,1.313,
2005-04,1.123,
2005-07,1.140,
2005-10,1.222,
2006-01,1.226,
2006-04,1.223,
2006-07,1.316,
2006-10,1.535,
2007-01,1.767,
2007-04,1.920,
2007-07,2.166,
2007-10,2.667,
2008-01,3.288,
2008-04,3.421,
2008-07,4.099,
2008-10,5.070,
2009-01,4.558,
2009-04,4.778,
2009-07,3.825,
2009-10,2.904,
2010-01,2.334,
2010-04,1.695,
2010-07,1.371,
2010-10,1.801,
2011-01,1.355,
2011-04,1.571,
2011-07,1.669,
2011-10,1.770,
2012-01,1.826,
2012-04,1.594,
2012-07,1.461,
2012-10,1.234,
2013-01,1.043,
2013-04,0.945,
2013-07,0.916,
2013-10,0.948,
2014-01,0.870,
2014-04,1.012,
2014-07,1.132,
