"",BBK01.OEYM05G,BBK01.OEYM05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:55,
2002-01,2.615,
2002-04,2.505,
2002-07,2.523,
2002-10,2.601,
2003-01,2.512,
2003-04,2.422,
2003-07,2.419,
2003-10,2.532,
2004-01,2.440,
2004-04,2.376,
2004-07,2.371,
2004-10,2.455,
2005-01,2.383,
2005-04,2.359,
2005-07,2.423,
2005-10,2.423,
2006-01,2.383,
2006-04,2.372,
2006-07,2.419,
2006-10,2.430,
2007-01,2.317,
2007-04,2.364,
2007-07,2.330,
2007-10,2.336,
2008-01,2.241,
2008-04,2.200,
2008-07,2.195,
2008-10,2.197,
2009-01,2.197,
2009-04,2.163,
2009-07,2.131,
2009-10,2.129,
2010-01,2.050,
2010-04,2.007,
2010-07,1.966,
2010-10,1.972,
2011-01,1.887,
2011-04,1.826,
2011-07,1.751,
2011-10,1.763,
2012-01,1.733,
2012-04,14.421,
2012-07,14.383,
2012-10,14.403,
2013-01,14.275,
2013-04,14.162,
2013-07,14.195,
2013-10,14.510,
2014-01,14.502,
2014-04,14.459,
2014-07,14.429,
