"",BBK01.OEAH10U,BBK01.OEAH10U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:15,
2002-01,1.641,
2002-04,1.687,
2002-07,1.741,
2002-10,1.784,
2003-01,1.774,
2003-04,1.741,
2003-07,1.702,
2003-10,1.727,
2004-01,1.764,
2004-04,1.744,
2004-07,1.717,
2004-10,1.716,
2005-01,1.697,
2005-04,1.650,
2005-07,1.607,
2005-10,1.588,
2006-01,1.522,
2006-04,1.494,
2006-07,1.480,
2006-10,1.382,
2007-01,1.306,
2007-04,1.278,
2007-07,1.261,
2007-10,1.213,
2008-01,1.186,
2008-04,1.170,
2008-07,1.161,
2008-10,1.098,
2009-01,1.050,
2009-04,1.016,
2009-07,1.029,
2009-10,1.080,
2010-01,1.162,
2010-04,1.166,
2010-07,1.167,
2010-10,1.162,
2011-01,1.146,
2011-04,1.184,
2011-07,1.177,
2011-10,1.173,
2012-01,1.165,
2012-04,1.127,
2012-07,1.109,
2012-10,1.073,
2013-01,1.041,
2013-04,1.005,
2013-07,0.993,
2013-10,1.032,
2014-01,1.013,
2014-04,1.030,
2014-07,1.011,
