"",BBK01.OEXI06Q,BBK01.OEXI06Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:04,
2002-01,0.066,
2002-04,0.061,
2002-07,0.053,
2002-10,0.049,
2003-01,0.045,
2003-04,0.055,
2003-07,0.056,
2003-10,0.056,
2004-01,0.057,
2004-04,0.057,
2004-07,0.056,
2004-10,0.052,
2005-01,0.055,
2005-04,0.053,
2005-07,0.055,
2005-10,0.054,
2006-01,0.055,
2006-04,0.058,
2006-07,0.059,
2006-10,0.061,
2007-01,0.035,
2007-04,0.038,
2007-07,0.037,
2007-10,0.044,
2008-01,0.057,
2008-04,0.065,
2008-07,0.068,
2008-10,0.078,
2009-01,0.089,
2009-04,0.074,
2009-07,0.068,
2009-10,0.064,
2010-01,0.084,
2010-04,0.107,
2010-07,0.124,
2010-10,0.137,
2011-01,0.154,
2011-04,0.172,
2011-07,0.183,
2011-10,0.182,
2012-01,0.171,
2012-04,0.175,
2012-07,0.166,
2012-10,0.155,
2013-01,0.135,
2013-04,0.110,
2013-07,0.106,
2013-10,0.096,
2014-01,0.086,
2014-04,0.067,
2014-07,0.059,
