"",BBK01.OELL07P,BBK01.OELL07P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:22,
2002-01,2.886,
2002-04,2.842,
2002-07,2.687,
2002-10,2.768,
2003-01,2.933,
2003-04,2.935,
2003-07,2.922,
2003-10,2.993,
2004-01,3.005,
2004-04,2.984,
2004-07,2.964,
2004-10,3.007,
2005-01,2.977,
2005-04,2.945,
2005-07,2.929,
2005-10,2.954,
2006-01,2.928,
2006-04,2.900,
2006-07,2.881,
2006-10,2.900,
2007-01,2.833,
2007-04,2.785,
2007-07,2.720,
2007-10,2.692,
2008-01,2.622,
2008-04,2.546,
2008-07,2.399,
2008-10,2.423,
2009-01,2.446,
2009-04,2.492,
2009-07,2.590,
2009-10,2.744,
2010-01,2.861,
2010-04,2.897,
2010-07,2.914,
2010-10,2.929,
2011-01,2.898,
2011-04,2.897,
2011-07,2.857,
2011-10,2.876,
2012-01,2.883,
2012-04,2.858,
2012-07,2.818,
2012-10,2.803,
2013-01,2.745,
2013-04,2.738,
2013-07,2.692,
2013-10,2.722,
2014-01,2.712,
2014-04,2.695,
2014-07,2.657,
