"",BBK01.OEAI08R,BBK01.OEAI08R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:54,
2002-01,5.166,
2002-04,5.036,
2002-07,5.102,
2002-10,5.332,
2003-01,5.429,
2003-04,5.405,
2003-07,5.484,
2003-10,5.593,
2004-01,5.642,
2004-04,5.623,
2004-07,5.631,
2004-10,5.744,
2005-01,6.360,
2005-04,6.356,
2005-07,6.419,
2005-10,6.529,
2006-01,6.463,
2006-04,6.375,
2006-07,6.309,
2006-10,6.243,
2007-01,6.090,
2007-04,6.006,
2007-07,5.911,
2007-10,5.981,
2008-01,5.948,
2008-04,5.874,
2008-07,5.786,
2008-10,5.838,
2009-01,5.928,
2009-04,5.949,
2009-07,6.073,
2009-10,6.273,
2010-01,6.328,
2010-04,6.360,
2010-07,6.426,
2010-10,6.571,
2011-01,6.665,
2011-04,6.625,
2011-07,6.581,
2011-10,6.658,
2012-01,6.746,
2012-04,6.705,
2012-07,6.766,
2012-10,6.900,
2013-01,6.943,
2013-04,6.935,
2013-07,7.042,
2013-10,7.153,
2014-01,7.194,
2014-04,7.154,
2014-07,7.193,
