"",BBK01.OEAA20H,BBK01.OEAA20H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:50,
2002-01,0.428,
2002-04,0.353,
2002-07,0.335,
2002-10,0.357,
2003-01,0.341,
2003-04,0.317,
2003-07,0.357,
2003-10,0.416,
2004-01,0.309,
2004-04,0.282,
2004-07,0.291,
2004-10,0.305,
2005-01,0.300,
2005-04,0.258,
2005-07,0.284,
2005-10,0.341,
2006-01,0.280,
2006-04,0.300,
2006-07,0.271,
2006-10,0.245,
2007-01,0.222,
2007-04,0.263,
2007-07,0.250,
2007-10,0.249,
2008-01,0.180,
2008-04,0.194,
2008-07,0.115,
2008-10,0.239,
2009-01,0.156,
2009-04,0.079,
2009-07,0.078,
2009-10,0.082,
2010-01,0.185,
2010-04,0.073,
2010-07,0.064,
2010-10,0.171,
2011-01,0.069,
2011-04,0.068,
2011-07,0.086,
2011-10,0.155,
2012-01,0.097,
2012-04,0.070,
2012-07,0.072,
2012-10,0.082,
2013-01,0.047,
2013-04,0.067,
2013-07,0.041,
2013-10,0.053,
2014-01,0.032,
2014-04,0.037,
2014-07,0.038,
