"",BBK01.OEBI01T,BBK01.OEBI01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:16,
2002-01,4.291,
2002-04,4.278,
2002-07,4.232,
2002-10,4.237,
2003-01,4.118,
2003-04,4.025,
2003-07,4.050,
2003-10,4.102,
2004-01,3.966,
2004-04,4.075,
2004-07,4.045,
2004-10,4.173,
2005-01,5.316,
2005-04,5.377,
2005-07,5.342,
2005-10,5.534,
2006-01,5.548,
2006-04,5.653,
2006-07,5.578,
2006-10,6.205,
2007-01,6.197,
2007-04,6.267,
2007-07,6.582,
2007-10,6.570,
2008-01,6.523,
2008-04,6.889,
2008-07,6.990,
2008-10,7.441,
2009-01,7.246,
2009-04,7.345,
2009-07,7.513,
2009-10,7.690,
2010-01,7.423,
2010-04,7.435,
2010-07,7.398,
2010-10,7.989,
2011-01,7.490,
2011-04,7.651,
2011-07,7.912,
2011-10,8.124,
2012-01,8.075,
2012-04,7.906,
2012-07,8.184,
2012-10,8.293,
2013-01,8.202,
2013-04,7.940,
2013-07,8.065,
2013-10,8.051,
2014-01,8.020,
2014-04,8.059,
2014-07,8.338,
