"",BBK01.OECB09M,BBK01.OECB09M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:38,
2002-01,6.312,
2002-04,5.945,
2002-07,5.138,
2002-10,5.064,
2003-01,5.291,
2003-04,4.715,
2003-07,4.545,
2003-10,4.091,
2004-01,4.098,
2004-04,4.019,
2004-07,4.085,
2004-10,4.324,
2005-01,4.611,
2005-04,4.516,
2005-07,4.483,
2005-10,4.072,
2006-01,4.151,
2006-04,4.126,
2006-07,4.208,
2006-10,4.566,
2007-01,4.096,
2007-04,4.031,
2007-07,3.967,
2007-10,4.756,
2008-01,4.644,
2008-04,4.730,
2008-07,4.755,
2008-10,4.624,
2009-01,4.756,
2009-04,4.702,
2009-07,4.451,
2009-10,4.200,
2010-01,4.464,
2010-04,4.282,
2010-07,4.333,
2010-10,4.208,
2011-01,4.443,
2011-04,4.406,
2011-07,4.480,
2011-10,4.352,
2012-01,4.528,
2012-04,4.537,
2012-07,4.343,
2012-10,4.256,
2013-01,4.460,
2013-04,4.540,
2013-07,4.557,
2013-10,4.544,
2014-01,4.506,
2014-04,4.608,
2014-07,4.466,
