"",BBFN1.M.DE.N.1.A.NO.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.NO.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Norway,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:16:52,
1994-07,0.412,
1994-08,0.421,
1994-09,0.454,
1994-10,0.464,
1994-11,0.490,
1994-12,0.472,
1995-01,0.463,
1995-02,0.470,
1995-03,0.495,
1995-04,0.483,
1995-05,0.486,
1995-06,0.493,
1995-07,0.469,
1995-08,0.467,
1995-09,0.516,
1995-10,0.515,
1995-11,0.543,
1995-12,0.478,
1996-01,0.458,
1996-02,0.507,
1996-03,0.522,
1996-04,0.527,
1996-05,0.506,
1996-06,0.542,
1996-07,0.514,
1996-08,0.487,
1996-09,0.545,
1996-10,0.560,
1996-11,0.551,
1996-12,0.511,
1997-01,0.488,
1997-02,0.536,
1997-03,0.579,
1997-04,0.532,
1997-05,0.536,
1997-06,0.557,
1997-07,0.497,
1997-08,0.507,
1997-09,0.518,
1997-10,0.578,
1997-11,0.570,
1997-12,0.540,
1998-01,0.491,
1998-02,0.518,
1998-03,0.553,
1998-04,0.591,
1998-05,0.593,
1998-06,0.574,
1998-07,0.585,
1998-08,0.564,
1998-09,0.630,
1998-10,0.607,
1998-11,0.613,
1998-12,0.576,
1999-01,0.536,
1999-02,0.514,
1999-03,0.531,
1999-04,0.526,
1999-05,0.525,
1999-06,0.539,
1999-07,0.512,
1999-08,0.502,
1999-09,0.541,
1999-10,0.568,
1999-11,0.568,
1999-12,0.518,
2000-01,0.514,
2000-02,0.544,
2000-03,0.555,
2000-04,0.560,
2000-05,0.537,
2000-06,0.537,
2000-07,0.554,
2000-08,0.565,
2000-09,0.579,
2000-10,0.598,
2000-11,0.630,
2000-12,0.590,
2001-01,0.548,
2001-02,0.551,
2001-03,0.599,
2001-04,0.578,
2001-05,0.582,
2001-06,0.589,
2001-07,0.581,
2001-08,0.549,
2001-09,0.577,
2001-10,0.607,
2001-11,0.643,
2001-12,0.557,
2002-01,0.522,
2002-02,0.541,
2002-03,0.510,
2002-04,0.530,
2002-05,0.544,
2002-06,0.603,
2002-07,0.549,
2002-08,0.571,
2002-09,0.619,
2002-10,0.557,
2002-11,0.576,
2002-12,0.717,
2003-01,0.571,
2003-02,0.590,
2003-03,0.595,
2003-04,0.633,
2003-05,0.613,
2003-06,0.579,
2003-07,0.595,
2003-08,0.566,
2003-09,0.644,
2003-10,0.687,
2003-11,0.783,
2003-12,0.786,
2004-01,0.691,
2004-02,0.658,
2004-03,0.622,
2004-04,0.641,
2004-05,0.746,
2004-06,0.832,
2004-07,0.853,
2004-08,0.781,
2004-09,0.851,
2004-10,0.878,
2004-11,0.958,
2004-12,0.741,
2005-01,0.646,
2005-02,0.680,
2005-03,0.691,
2005-04,0.743,
2005-05,0.747,
2005-06,0.770,
2005-07,0.766,
2005-08,0.747,
2005-09,0.962,
2005-10,1.027,
2005-11,0.936,
2005-12,1.338,
2006-01,1.314,
2006-02,1.331,
2006-03,1.392,
2006-04,1.397,
2006-05,1.306,
2006-06,0.872,
2006-07,0.848,
2006-08,0.833,
2006-09,0.902,
2006-10,0.842,
2006-11,1.080,
2006-12,1.032,
2007-01,0.949,
2007-02,1.063,
2007-03,0.845,
2007-04,0.791,
2007-05,0.838,
2007-06,0.899,
2007-07,0.893,
2007-08,0.873,
2007-09,0.912,
2007-10,0.963,
2007-11,0.991,
2007-12,0.932,
2008-01,0.923,
2008-02,0.965,
2008-03,0.997,
2008-04,0.951,
2008-05,0.939,
2008-06,0.965,
2008-07,0.976,
2008-08,0.941,
2008-09,0.994,
2008-10,1.046,
2008-11,1.052,
2008-12,0.965,
2009-01,0.913,
2009-02,1.041,
2009-03,0.997,
2009-04,1.021,
2009-05,1.073,
2009-06,0.968,
2009-07,0.985,
2009-08,0.975,
2009-09,0.920,
2009-10,0.927,
2009-11,0.921,
2009-12,0.868,
2010-01,0.745,
2010-02,0.835,
2010-03,1.071,
2010-04,1.054,
2010-05,1.019,
2010-06,1.088,
2010-07,1.032,
2010-08,1.019,
2010-09,1.115,
2010-10,1.119,
2010-11,0.729,
2010-12,0.659,
2011-01,0.627,
2011-02,0.628,
2011-03,0.653,
2011-04,0.654,
2011-05,0.739,
2011-06,0.673,
2011-07,0.698,
2011-08,0.693,
2011-09,0.751,
2011-10,0.804,
2011-11,0.928,
2011-12,0.710,
2012-01,0.649,
2012-02,0.832,
2012-03,1.233,
2012-04,0.972,
2012-05,1.007,
2012-06,0.996,
2012-07,0.953,
2012-08,0.967,
2012-09,1.090,
2012-10,1.069,
2012-11,1.075,
2012-12,1.079,
2013-01,1.109,
2013-02,1.122,
2013-03,1.544,
2013-04,1.530,
2013-05,1.460,
2013-06,1.228,
2013-07,1.032,
2013-08,1.054,
2013-09,1.263,
2013-10,1.256,
2013-11,1.265,
2013-12,1.034,
2014-01,1.003,
2014-02,0.677,
2014-03,1.022,
2014-04,0.997,
2014-05,0.988,
2014-06,1.003,
2014-07,1.042,
2014-08,1.055,
2014-09,1.064,
2014-10,1.038,
2014-11,1.061,
2014-12,1.030,
