"",BBDA1.M.DE.N.EX.S.A.FI.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.FI.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Finland / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:07,
1990-07,248133,
1990-08,308900,
1990-09,308364,
1990-10,323883,
1990-11,288420,
1990-12,242237,
1991-01,273563,
1991-02,235979,
1991-03,277685,
1991-04,237384,
1991-05,241672,
1991-06,193263,
1991-07,254700,
1991-08,230048,
1991-09,240483,
1991-10,276321,
1991-11,274015,
1991-12,249386,
1992-01,213175,
1992-02,244249,
1992-03,299541,
1992-04,262140,
1992-05,269551,
1992-06,210489,
1992-07,231366,
1992-08,213587,
1992-09,238563,
1992-10,280927,
1992-11,211182,
1992-12,218515,
1993-01,165928,
1993-02,170195,
1993-03,440952,
1993-04,181240,
1993-05,177037,
1993-06,178594,
1993-07,157413,
1993-08,160646,
1993-09,180663,
1993-10,179211,
1993-11,183410,
1993-12,203481,
1994-01,180624,
1994-02,190574,
1994-03,199558,
1994-04,242382,
1994-05,251904,
1994-06,243007,
1994-07,182918,
1994-08,235155,
1994-09,228080,
1994-10,273162,
1994-11,252447,
1994-12,272473,
1995-01,289976,
1995-02,290149,
1995-03,308692,
1995-04,285344,
1995-05,301900,
1995-06,318934,
1995-07,246236,
1995-08,271132,
1995-09,306071,
1995-10,310440,
1995-11,304406,
1995-12,299091,
1996-01,309922,
1996-02,313067,
1996-03,348045,
1996-04,313965,
1996-05,329412,
1996-06,275654,
1996-07,296959,
1996-08,305480,
1996-09,323125,
1996-10,352099,
1996-11,335642,
1996-12,361752,
1997-01,314270,
1997-02,324111,
1997-03,365199,
1997-04,348858,
1997-05,329724,
1997-06,360756,
1997-07,333871,
1997-08,344630,
1997-09,354449,
1997-10,359724,
1997-11,371991,
1997-12,358332,
1998-01,360125,
1998-02,352695,
1998-03,421333,
1998-04,407801,
1998-05,430750,
1998-06,386558,
1998-07,387671,
1998-08,329342,
1998-09,430538,
1998-10,477283,
1998-11,510462,
1998-12,403365,
1999-01,460736,
1999-02,416278,
1999-03,512393,
1999-04,417738,
1999-05,447192,
1999-06,551755,
1999-07,395121,
1999-08,452452,
1999-09,519880,
1999-10,589001,
1999-11,557266,
1999-12,492004,
2000-01,519995,
2000-02,504561,
2000-03,688145,
2000-04,535017,
2000-05,583779,
2000-06,641086,
2000-07,519231,
2000-08,534296,
2000-09,650451,
2000-10,663450,
2000-11,615908,
2000-12,548927,
2001-01,567673,
2001-02,572054,
2001-03,612640,
2001-04,543989,
2001-05,550332,
2001-06,545813,
2001-07,493617,
2001-08,555102,
2001-09,550438,
2001-10,605274,
2001-11,529209,
2001-12,555956,
2002-01,497747,
2002-02,533089,
2002-03,517723,
2002-04,527323,
2002-05,522269,
2002-06,591536,
2002-07,525648,
2002-08,568664,
2002-09,592481,
2002-10,613177,
2002-11,642789,
2002-12,486174,
2003-01,540092,
2003-02,558734,
2003-03,563902,
2003-04,533203,
2003-05,583356,
2003-06,573310,
2003-07,506222,
2003-08,487543,
2003-09,578518,
2003-10,590928,
2003-11,624337,
2003-12,545899,
2004-01,511158,
2004-02,548688,
2004-03,590846,
2004-04,648561,
2004-05,541791,
2004-06,612815,
2004-07,593966,
2004-08,607763,
2004-09,664555,
2004-10,679471,
2004-11,699354,
2004-12,622608,
2005-01,614843,
2005-02,623737,
2005-03,659654,
2005-04,716716,
2005-05,660212,
2005-06,691220,
2005-07,616008,
2005-08,613719,
2005-09,693030,
2005-10,747807,
2005-11,770330,
2005-12,736131,
2006-01,758335,
2006-02,744023,
2006-03,825162,
2006-04,705585,
2006-05,722020,
2006-06,751707,
2006-07,762149,
2006-08,723612,
2006-09,812423,
2006-10,837111,
2006-11,840622,
2006-12,746725,
2007-01,774417,
2007-02,768261,
2007-03,963758,
2007-04,849742,
2007-05,803485,
2007-06,910863,
2007-07,897591,
2007-08,808542,
2007-09,858396,
2007-10,939959,
2007-11,898534,
2007-12,817233,
2008-01,879025,
2008-02,851603,
2008-03,895404,
2008-04,861843,
2008-05,825164,
2008-06,855886,
2008-07,788270,
2008-08,749604,
2008-09,802397,
2008-10,822866,
2008-11,727922,
2008-12,583446,
2009-01,628897,
2009-02,630806,
2009-03,613858,
2009-04,612664,
2009-05,559049,
2009-06,533096,
2009-07,588918,
2009-08,494899,
2009-09,614709,
2009-10,638557,
2009-11,583701,
2009-12,585998,
2010-01,505766,
2010-02,588864,
2010-03,669228,
2010-04,586191,
2010-05,638103,
2010-06,684694,
2010-07,651785,
2010-08,622044,
2010-09,676419,
2010-10,692474,
2010-11,694796,
2010-12,633249,
2011-01,646462,
2011-02,712262,
2011-03,809331,
2011-04,698991,
2011-05,744132,
2011-06,692417,
2011-07,703984,
2011-08,677096,
2011-09,714831,
2011-10,715248,
2011-11,682551,
2011-12,651689,
2012-01,651149,
2012-02,732873,
2012-03,775248,
2012-04,668394,
2012-05,678436,
2012-06,681357,
2012-07,623159,
2012-08,652022,
2012-09,653031,
2012-10,703913,
2012-11,648520,
2012-12,566358,
2013-01,647193,
2013-02,653560,
2013-03,687215,
2013-04,750640,
2013-05,660015,
2013-06,674934,
2013-07,612530,
2013-08,659190,
2013-09,745655,
2013-10,740820,
2013-11,675776,
2013-12,658922,
2014-01,712712,
2014-02,769132,
2014-03,754861,
2014-04,772378,
2014-05,708338,
2014-06,736670,
2014-07,717846,
2014-08,685783,
2014-09,770961,
2014-10,786774,
2014-11,724933,
2014-12,659798,
